0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
,Table 2: Process indicators by sentinel site and year,,,,,,,,,,,,,,,,,,,,
,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,
Sentinel site,Opening,Fever,Forms,Forms,SMS,Fever,Forms,Forms,SMS,Fever,Forms,Forms,SMS,Fever,Forms,Forms,SMS,Fever,Forms,Forms,SMS
,date,,,/ Fever,delay,,,/ Fever,delay,,,/ Fever,delay,,,/ Fever,Delay,,,/ Fever,Delay
,,,,%,%,,,%,%,,,%,%,,,%,%,,,%,%
Ambatondrazaka,2009-05-11,--,--,--,--,--,,,,297,200,67.3,37,211,185,87.7,38,276,154,55.8,25
Ambato Boeny,2010-09-01,--,--,--,--,--,,,,--,--,--,--,363,53,14.6,51,1094,4,0.4,28
Ambovombe,2009-06-02,--,--,--,--,--,,,,111,111,100.0,34,171,53,31.0,53,190,73,38.4,45
Ambositra,2011-08-25,--,--,--,--,--,,,,--,--,--,--,--,--,--,--,212,195,92.0,6
AntananarivoBHK,2009-01-26,--,--,--,--,--,,,,412,412,100.0,18,331,180,54.4,22,273,124,45.4,39
Antananarivo CDA,2009-04-01,--,--,--,--,--,,,,132,111,84.1,18,240,172,71.7,23,308,198,64.3,43
Antananarivo MJR,2009-02-02,--,--,--,--,--,,,,441,144,32.7,24,292,215,73.6,2,480,235,49.0,7
Antananarivo TSL,2009-02-09,--,--,--,--,--,,,,143,134,93.7,26,44,44,100.0,25,38,28,73.7,10
Antsirabe,2008-09-08,--,--,--,--,258,256,99.2,20,1304,1304,100.0,7,576,550,95.5,4,1025,653,63.7,4
Antsiranana,2007-04-19,1652,1650,99.8,NA,2215,2215,100.0,10,2579,2148,83.3,5,1995,1968,98.6,10,1577,1252,79.4,11
Antsohihy,2007-05-02,263,263,100.0,NA,1172,1172,100.0,19,611,565,92.5,29,585,558,95.4,35,248,180,72.6,23
Anjozorobe,2010-07-29,--,--,--,--,--,--,--,--,--,--,,--,49,38,77.6,45,158,153,96.8,38
Belo sur Tsiribina,2010-10-11,--,--,--,--,--,--,--,--,--,--,,--,183,182,99.5,48,529,419,79.2,50
Ejeda,2007-12-10,5,5,100.0,NA,63,63,100.0,12,76,76,100.0,10,113,113,100.0,20,137,137,100.0,24
Farafangana,2007-06-07,473,473,100.0,NA,929,929,100.0,6,970,961,99.1,8,1102,925,83.9,14,1710,1609,94.1,17
Fianarantsoa,2008-08-04,--,--,--,--,250,250,100.0,9,427,427,100.0,10,162,145,89.5,11,302,186,61.6,11
Ihosy,2007-12-10,71,71,100.0,NA,793,793,100.0,9,552,525,95.1,16,350,350,100.0,19,745,538,72.2,11
Maevatanana,2007-04-23,1639,1639,100.0,NA,1906,1906,100.0,9,2736,2223,81.3,5,3414,3311,97.0,20,2582,1668,64.6,29
Mahajanga,2007-04-23,519,518,99.8,NA,597,467,78.2,10,851,829,97.4,8,943,922,97.8,11,891,730,81.9,20
Maintirano,2010-07-19,--,--,--,--,--,--,--,--,--,--,--,--,354,311,87.9,25,675,467,69.2,50
Mananjara,2010-02-18,--,--,--,--,--,--,--,--,--,--,--,--,853,822,96.4,27,409,299,73.1,35
Mandritsara,2011-09-26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,391,391,100.0,37
Maroantsetra,2010-09-02,--,--,--,--,--,--,--,--,--,--,--,--,158,158,100.0,18,433,240,55.4,28
Miandrivaza,2010-05-07,--,--,--,--,--,--,--,--,--,--,--,--,875,875,100.0,37,582,493,84.7,46
Moramanga,2007-04-12,1436,1436,100.0,NA,2227,2196,98.6,18,3213,2964,92.3,15,1454,1396,96.0,23,1730,1010,58.4,20
Morombe,2011-09-12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,158,130,82.3,21
Morondava,2007-04-10,623,623,100.0,NA,1163,1163,100.0,5,1182,1182,100.0,8,707,707,100.0,21,617,426,69.0,37
Nosy Be,2009-06-02,--,--,--,--,--,--,--,--,2402,18,0.7,28,2645,1100,41.6,54,2542,791,31.1,68
Sainte Marie,2010-03-04,--,--,--,--,--,--,--,--,--,--,--,--,71,35,49.3,46,61,6,9.8,41
Sambava,2009-01-21,--,--,--,--,--,--,--,--,1125,574,51.0,25,1515,279,18.4,40,934,242,25.9,50
Taolagnara,2007-04-24,407,407,100.0,NA,709,709,100.0,15,742,636,85.7,17,464,427,92.0,23,383,320,83.6,35
Toamasina,2007-04-16,1140,1140,100.0,NA,2602,2602,100.0,14,3803,2727,71.7,11,2428,2159,88.9,24,2116,1713,81.0,24
Tsiroanamandidy,2007-04-30,1056,1056,100.0,NA,1152,1152,100.0,13,1199,1199,100.0,36,1093,1048,95.9,48,1024,602,58.8,45
Tulear,2007-04-30,352,352,100.0,NA,706,706,100.0,15,576,499,86.6,26,714,711,99.6,25,653,494,75.7,33
Total,,"9,636","9,633",99.9,,"16,742","16,579",99.0,,"25,884","19,969",77.1,,"24,455","19,992",81.7,,"25,483","16,160",63.4,
,,,"Fever= number of febrile syndrome cases declared by SMS, Forms= number of fever forms received, % forms = percentage of forms for patients with febrile syndromes, NA=not available",,,,,,,,,,,,,,,,,,
