0,1,2,3,4,5,6,7
,,Spleen,−1.05 ± 0.15,−1.60 ± 0.20,−1.01 ± 0.14,1.07 ± 0.12,−1.13 ± 0.13
,,,,∗,,,
,,Head kidney,−1.22 ± 0.23,−3.08 ± 0.61,−1.60 ± 0.26,−1.31 ± 0.32,−1.59 ± 0.35
,nod1,,,,,,
,,Liver,1.20 ± 0.18,1.26 ± 0.19,1.37 ± 0.19,1.36 ± 0.30,1.74 ± 0.34
,,Thymus,−1.02 ± 0.21,1.45 ± 0.33,1.35 ± 0.39,−1.04 ± 0.27,−1.15 ± 0.26
∗,,,,,,,
,,Significant expression difference (𝑝 < 0.05) between the infected and the control groups is indicated in bold.,,,,,
,,,,(b),,,
,,,,,Fold change values of infected group relative to the control,,
,Gene symbol,Tissues,,,,,
,,,6 h,12 h,24 h,48 h,72 h
,,Spleen,1.44 ± 0.25,1.68 ± 0.24,1.33 ± 0.33,1.36 ± 0.22,1.25 ± 0.20
,,Head kidney,1.37 ± 0.16,1.33 ± 0.20,1.22 ± 0.22,1.45 ± 0.29,1.04 ± 0.12
,myd88,,,∗,,,∗
,,Liver,2.75 ± 0.48,6.68 ± 0.63,3.34 ± 0.76,4.37 ± 1.48,6.78 ± 1.89
,,Thymus,1.08 ± 0.14,−1.13 ± 0.23,1.01 ± 0.21,1.09 ± 0.17,1.00 ± 0.14
,,Spleen,−1.02 ± 0.14,−1.20 ± 0.10,1.26 ± 0.09,1.03 ± 0.16,−1.06 ± 0.14
,,Head kidney,1.04 ± 0.11,−1.25 ± 0.16,−1.36 ± 0.19,−1.31 ± 0.18,−1.39 ± 0.19
,irak4a,,,,∗,,∗
,,Liver,1.38 ± 0.14,1.67 ± 0.14,1.87 ± 0.24,1.51 ± 0.15,1.86 ± 0.23
,,,,,,,∗
,,Thymus,1.17 ± 0.16,1.10 ± 0.18,1.08 ± 0.18,1.26 ± 0.17,1.71 ± 0.23
,,,∗,∗,,,
,,Spleen,2.81 ± 0.43,2.86 ± 0.24,1.56 ± 0.17,1.51 ± 0.22,1.13 ± 0.20
,,,∗,∗,,,
,,Head kidney,2.24 ± 0.35,2.54 ± 0.47,1.23 ± 0.15,1.34 ± 0.17,1.55 ± 0.18
,irak1,,∗,∗,,,∗
,,Liver,2.60 ± 0.50,3.93 ± 0.49,2.12 ± 0.35,2.14 ± 0.30,2.34 ± 0.34
,,Thymus,1.11 ± 0.13,−1.07 ± 0.19,−1.25 ± 0.21,−1.14 ± 0.16,1.13 ± 0.15
,,Spleen,1.10 ± 0.15,1.29 ± 0.13,1.26 ± 0.13,1.21 ± 0.16,1.15 ± 0.13
,,,,,,∗,
,,Head kidney,1.05 ± 0.09,1.49 ± 0.15,1.36 ± 0.14,1.57 ± 0.15,1.37 ± 0.15
,traf6,,,∗,∗,∗,∗
,,Liver,1.27 ± 0.09,2.21 ± 0.27,2.21 ± 0.30,2.04 ± 0.33,2.17 ± 0.25
,,,,,,,∗
,,Thymus,1.18 ± 0.15,−1.04 ± 0.11,−1.01 ± 0.15,−1.03 ± 0.13,1.78 ± 0.22
,,Spleen,1.06 ± 0.19,1.21 ± 0.21,1.29 ± 0.22,1.15 ± 0.23,1.24 ± 0.21
,,Head kidney,1.31 ± 0.21,−1.05 ± 0.24,1.14 ± 0.12,1.27 ± 0.14,1.11 ± 0.10
,tollip,,,,,∗,∗
,,Liver,1.62 ± 0.48,1.73 ± 0.54,2.74 ± 0.87,3.44 ± 1.14,4.53 ± 1.43
,,Thymus,1.03 ± 0.15,−1.11 ± 0.29,1.05 ± 0.24,−1.04 ± 0.19,1.29 ± 0.26
∗,,,,,,,
,,Significant expression difference (𝑝 < 0.05) between the infected and the control groups is indicated in bold.,,,,,
