0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table 2 Distribution of deaths and SEYLL among 588 MERS cases by age groups and year,,,,,,,,,,"(September 23, 2012 until May 17, 2019)",,,,,,,,
Year,,Age Groups (year),,,,,,,,,,,,,,,,
,0–29 yr,(n = 65),,,,,30–59 yr,(n = 242),,,,,≥60 yr,(n = 281),,,,
,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,
,Deaths,SEYLL,SEYLL%,Deaths,SEYLL,SEYLL%,Deaths,SEYLL,SEYLL%,Deaths,SEYLL,SEYLL%,Deaths,SEYLL,SEYLL%,Deaths,SEYLL,SEYLL%
2012,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,3,45.5,5.6,2,26,1.6
n = 5,,,,,,,,,,,,,,,,,,
2013,2,111,9.9,8,504,19.2,10,378,20.1,19,689,10.7,11,130.5,16.1,22,194,11.7
n = 72,,,,,,,,,,,,,,,,,,
2014,5,285.5,25.4,21,1155,44.1,10,386,20.5,30,1019,15.9,9,74.5,9.2,21,242,14.6
n = 96,,,,,,,,,,,,,,,,,,
2015,7,431.5,38.4,9,494,18.8,21,771.5,41.0,53,1927,30.0,27,289.5,35.7,76,512,30.9
n = 193,,,,,,,,,,,,,,,,,,
2016,3,166.5,14.8,1,56,2.1,5,152.5,8.1,38,1171,18.2,3,27.5,3.4,27,236,14.3
n = 77,,,,,,,,,,,,,,,,,,
2017,0,0,0,3,169,6.4,2,73,3.9,11,336,5.2,18,207,25.5,9,93,5.6
n = 43,,,,,,,,,,,,,,,,,,
2018,1,67.5,6.0,3,191,7.3,1,37.5,2.0,24,723,11.3,1,5.5,0.7,32,233,14.1
n = 62,,,,,,,,,,,,,,,,,,
2019,1,60.5,5.4,1,53,2.0,2,85,4.5,16,560,8.7,3,31.5,3.9,17,119,7.2
n = 40,,,,,,,,,,,,,,,,,,
Total,19,1122.5,100,46,2622,100,51,1883.5,100,191,6425,100,75,811.5,100,206,1655,100
n = 588,,,,,,,,,,,,,,,,,,
