0,1,2,3,4
"Table 1. Overview of serologic evidence for Middle East respiratory syndrome coronavirus among dromedary camels, Africa and the",,,,
Arabian Peninsula,,,,
,,,% Middle East respiratory syndrome,
Country,Year,No. camels*,coronavirus antibodies,Reference
United Arab Emirates,2013,"500 (A,J)","96†,‡,§,¶",(6)
,2013,59 (A),"97#, 100**, 98§",(7)
,2003,151 (A),"100‡,§",(6)
Egypt,2013,110 (A),"94§, 98††",(4)
,2013,17 (A),82††,(5)
Spain (Canary Islands),2012–2013,97 (A),"14§,¶",(2)
,2012–2013,8 (J),"13§,¶",(2)
Ethiopia,2010–2011,31 (J),93¶,This study
,2010–2011,157 (A),97¶,This study
"Ethiopia, Sudan",2013,35 (A),97††,(5)
Jordan,2013,11 (J),"100§,¶",(3)
Nigeria,2010–2011,358 (A),94¶,This study
Oman,2013,50 (A),"100§,¶",(2)
Qatar,2013,14 (A),"100§,¶",(10)
Saudi Arabia,2010–2013,65 (J),72††,(8)
,2010–2013,245 (A),95††,(8)
,2013,104 (J),55‡‡,(9)
,2013,98 (A),95‡‡,(9)
,2010,21 (J),76‡‡,(9)
,2010,23 (A),91‡‡,(9)
,2009,56 (J),72‡‡,(9)
,2009,26 (A),92‡‡,(9)
,2004,6 (A),100‡‡,(9)
,1996,6 (A),100‡‡,(9)
,1994,123 (A),93‡‡,(9)
,1993,2 (A),100‡‡,(9)
,1992,1 (A),100‡‡,(9)
Tunisia,2009,46 (J),30¶,This study
,2009,158 (A),54¶,This study
"*Camel age range indicated where known. J, juvenile ≤2 y of age; A, adult >2 y of age.",,,,
