0,1,2,3,4,5,6,7,8,9,10,11
Table 2,,,,,,,,,,,
"Effect of HF and GL on LDH, Creatinine-Kinase, Urea, Uric acid and Creatinin of control and experimental rats.",,,,,,,,,,,
Treatment,Dose (mg/kg),LDH,,Creatinine-Kinase,,Creatinine (mg/dl),,Urea (nmol/l),,Uric acid (mg/dl),
,,Mean ± S.E,%,Mean ± S.E,%,Mean ± S.E,%,Mean ± S.E,%,Mean ± S.E,%
Control,–,113.32 ± 4.70,,183.66 ± 5.01,,0.91 ± 0.0,,36.90 ± 1.79,,1.92 ± 0.04,
a,,,,,,,,,,,
CCl4,1.25 mL/kg,198.31 ± 7.12***,,325.16 ± 11.00***,,3.10 ± 0.14***,,192.33 ± 8.34***,,6.44 ± 0.21***,
b,,,,,,,,,,,
SI + CCl4,10,152.80 ± 11.32**,23,195.50 ± 8.64***,39,1.84 ± 0.05***,40,126.66 ± 6.53***,34,2.83 ± 0.1***,56
HFb,12,210.66 ± 7.93,6,266.33 ± 8.19**,18,2.65 ± 0.13,14,161.00 ± 715*,16,5.40 ± 0.26*,16
GLb,84,157.92 ± 11.96*,20,270.83 ± 7.75**,17,3.09 ± 0.07,–,160.66 ± 7.97*,16,5.11 ± 0.27**,21
HF + GLb,6 + 42,168.47 ± 9.74*,15,212.16 ± 7.43***,35,2.11 ± 0.07***,32,148.66 ± 7.49**,23,4.55 ± 0.28***,29
HF + GLb,12 + 84,162.44 ± 4.41**,18,203.333 ± 9.76***,37,2.05 ± 0.04***,34,143.00 ± 6.26***,23,3.16 ± 0.24***,51
,All values represent mean ± SEM.,,,,,,,,,,
