0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 3 Distribution of S. flexneri and S. sonnei serotypes among patients with shigellosis in Beijing between 1994 and 2010 (by age group) (Continued),,,,,,,,,,,,,,,,,
Age,,,,,,,,,No.,,(%) of isolates in serotypes,,,,,,
groups,,,,,,,,,,,,,,,,,
,,"S.
flexneri",,,"S.
flexneri",,,S.,flexneri,S.,flexneri,,S. flexneri,,S. flexneri,,S. sonnei
,,serotype 4b,,,serotype 4c,,,serotype 5,,,serotype 6,,serotype x,,serotype y,,
0–2,3,,(6.38),0,,(0.00),0,,(0.00),5,(9.43),18,(10.11),9,(8.18),99,(6.04)
2–5,0,,(0.00),5,,(2.66),2,,(6.67),4,(7.55),13,(7.30),5,(4.55),190,(11.59)
6–10,3,,(6.38),18,,(9.57),5,,(16.67),1,(1.89),18,(10.11),8,(7.27),250,(15.25)
11–15,4,,(8.51),15,,(7.98),2,,(6.67),4,(7.55),3,(1.69),2,(1.82),242,(14.77)
16–20,15,,(31.91),13,,(6.91),2,,(6.67),2,(3.77),11,(6.18),19,(17.27),178,(10.86)
21–25,5,,(10.64),57,,(30.32),1,,(3.33),9,(16.98),44,(24.72),26,(23.64),123,(7.50)
26–30,5,,(10.64),21,,(11.17),2,,(6.67),10,(18.87),21,(11.80),17,(15.45),94,(5.74)
31–35,3,,(6.38),12,,(6.38),1,,(3.33),7,(13.21),12,(6.74),6,(5.45),57,(3.48)
36–40,4,,(8.51),10,,(5.32),1,,(36.67),2,(3.77),14,(7.87),2,(1.82),240,(14.64)
41–45,0,,(0.00),12,,(6.38),1,,(3.33),2,(3.77),8,(4.49),1,(0.91),26,(1.59)
46–50,1,,(2.13),9,,(4.79),1,,(3.33),1,(1.89),1,(0.56),0,(0.00),28,(1.71)
51–55,2,,(4.26),7,,(3.72),0,,(0.00),2,(3.77),4,(2.25),5,(4.55),15,(0.92)
56–60,1,,(2.13),2,,(1.06),0,,(0.00),1,(1.89),6,(3.37),2,(1.82),20,(1.22)
61–65,0,,(0.00),3,,(1.60),1,,(3.33),1,(1.89),0,(0.00),3,(2.73),32,(1.95)
66–70,1,,(2.13),2,,(1.06),0,,(0.00),1,(1.89),2,(1.12),3,(2.73),21,(1.28)
71–75,0,,(0.00),0,,(0.00),1,,(3.33),0,(0.00),1,(0.56),0,(0.00),12,(0.73)
76–80,0,,(0.00),2,,(1.06),0,,(0.00),1,(1.89),1,(0.56),2,(1.82),6,(0.37)
81–85,0,,(0.00),0,,(0.00),0,,(0.00),0,(0.00),1,(0.56),0,(0.00),4,(0.24)
86–90,0,,(0.00),0,,(0.00),0,,(0.00),0,(0.00),0,(0.00),0,(0.00),2,(0.12)
Total,47,,(0.79),188,,(3.17),3,,(0.51),53,(0.89),178,(3.00),110,(1.85),"1,639",(27.62)
