0,1,2,3,4,5,6
,Table 1. Parameter estimates for six models in England and Wales. Posterior medians and equal tailed 95% credible interval,,,,,
presented for each parameter.,,,,,,
,,density-,density-,estimated density,,single-infected
,distance-only,dependent,independent,dependence,,city parameter
,model,population model,population model,population model,full model,model
DIC,880.4,863.6,844.5,846.3,846.4,841.9
g (distance,0.90,0.85,1.14,1.15,1.18,1.18
power),"(0.71, 1.07)","(0.66, 1.03)","(0.92, 1.34)","(0.93, 1.36)","(0.93, 1.40)","(0.96, 1.39)"
m (susceptible,0,0.30,0.36,0.35,0.40,0.40
population),,"(0.15, 0.44)","(0.22, 0.51)","(0.19, 0.48)","(0.24, 0.53)","(0.25, 0.54)"
n (infected,0,0.20,0.14,0.15,0.22,0
population),,"(0.01, 0.67)","(0, 0.48)","(0, 0.50)","(0.01, 0.60)",
1 (spatial,0,0,1,0.90,0.86,0.87
interaction),,,,"(0.64, 1.21)","(0.55, 1.24)","(0.61, 1.16)"
w (infectivity,0,0,0,0,0.30,0.24
parameter),,,,,"(0.06, 0.62)","(0.03, 0.47)"
b (intensity),0.0007,0.0003,0.04,0.02,0.15,0.11
,"(0.006, 0.008)","(0, 0.001)","(0.01, 0.17)","(0, 0.24)","(0.01, 2.44)","(0.01, 1.01)"
