0,1,2,3,4,5,6
,Absence of virus,Presence of,,,,
,particle,virus particle,,,,
,(n = 5),(n = 7),,,,
,no. (%),no. (%),,,,
,,,P value,Odd ratio,95% confidence,P value
,,,,,interval,
"Age, year",25.6 ± 4.2,34.9 ± 2.9,0.09,-,-,-
Female gender,5 (100%),4 (57.1%),0.09,1.75,0.92–3.32,-
Titer of Anti-CoV IgG (OD) *,0.8 ± 0.2,1.3 ± 0.1,0.04,-,-,1.0
Days of fever,4.2 ± 0.5,11.0 ± 1.0,0.0003,-,-,0.011
Positive PCR,2 (28.6%),5 (71.4%),0.276,3.75,0.33–42.47,-
Use of ribavirin,4 (57.1%),6 (85.7%),0.79,1.50,0.71–31.58,-
Use of IVIG,4 (57.1%),6 (85.7%),0.79,1.50,0.71–31.58,-
Pulse corticosteroid therapy,0 (0%),4 (57.1%),0.04,2.33,0.99–5.49,0.004
Maintenance corticosteroid therapy,0 (0%),3 (42.9%),0.09,1.75,0.92–3.32,-
Need for intubation,1 (14.3%),1 (14.3%),0.79,0.67,0.03–14.03,-
