0,1,2,3,4
"Viruses 2011, 3",,,,1961
,,Table 1: Sizes and coding potentials of iridovirid genomes.,,
Genus,Speciesa,Size (bp),No. ORFsb  % G+C,GenBank Accession Number
Iridovirus,IIV-9,"206,791","191 
31",GQ918152
,IIV-6,"212,482","211 
29",AF303741
Chloriridovirus,IIV-3,"191,132","126 
48",DQ643392
Lymphocystivirus,LCDV-1,"102,653","108 
29",L63545
,LCDV-C,"186,250","178 
27",AY380826
Ranavirus,TFV,"105,057","105 
55",AF389451
,ATV,"106,332","92 
54",AY150217
,FV3,"105,903","97 
55",AY548484
,STIV,"105,890","103 
55",EU627010
,EHNV,"127,011","100 
54",FJ433873
,SGIV,"140,131","139 
49",AY521625
,GIV,"139,793","139 
49",AY666015
Megalocytivirus,ISKNV,"111,362","117 
55",AF371960
,RBIV,"112,080","116 
53",AY532606
,RSIV,"112,414","93 
53",BD143114
,OSGIV,"112,636","116 
54",AY894343
,TRBIV,"110,104","115 
55",GO273492
