0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 3 Measurement statistics of Rattus,,,,,,,,,,,,,,,,,
,,,SGL,,,NBL,,,,,ZB,,,SBL,,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
R. nitidus,46,41.93,3.22,28.40,47.05,16.13,1.68,10.54,19.00,19.87,1.16,17.64,22.30,38.30,2.36,32.82,43.00
R. nitidus nitidus,31,41.62,3.53,28.40,47.05,15.90,1.75,10.54,18.66,19.66,1.11,17.64,21.75,37.96,2.30,32.82,41.82
R. nitidus thibetanus,15,42.56,2.44,38.39,45.85,16.62,1.47,14.02,19.00,20.31,1.15,18.63,22.30,38.99,2.40,35.19,43.00
"R.
losea",31,37.12,3.32,31.24,46.53,13.51,1.77,10.06,18.35,17.99,1.38,15.02,21.12,34.37,2.61,29.72,40.55
"R.
tanezumi",34,40.11,2.06,33.98,43.27,14.50,1.26,11.69,16.57,19.57,1.03,16.73,21.67,36.50,1.96,30.75,39.80
R. andamanensis,44,41.49,3.06,34.87,46.80,15.13,1.75,11.25,17.84,20.33,1.63,16.88,24.05,37.69,2.93,31.76,42.72
R. norvegicus,69,41.63,3.52,31.75,52.13,15.33,1.69,10.79,20.22,20.42,1.88,15.33,25.63,38.16,3.30,29.95,48.56
R. exulans,4,32.86,2.15,31.09,35.88,11.33,1.64,9.91,13.14,15.77,0.73,15.15,16.79,30.49,1.22,29.15,32.04
R. rattus,5,39.86,2.10,37.96,43.15,14.11,1.24,12.93,16.02,18.83,0.71,17.93,19.58,37.75,2.18,35.75,41.03
,,,UTRL,,,,UMRL,,,,ABL,,,,ML,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
R. nitidus,46,21.29,1.38,18.62,24.36,7.39,0.54,6.15,8.92,7.36,0.56,6.03,8.32,21.70,2.02,16.41,26.17
R. nitidus nitidus,31,20.96,1.25,18.62,23.02,7.29,0.53,6.15,8.35,7.28,0.59,6.03,8.32,21.08,1.85,16.41,24.65
R. nitidus thibetanus,15,21.97,1.45,19.56,24.36,7.62,0.51,6.66,8.92,7.54,0.42,6.86,8.11,22.96,1.78,19.81,26.17
"R.
losea",31,18.95,1.62,15.86,21.97,6.53,0.42,5.79,7.63,7.17,0.40,6.54,7.84,19.85,1.66,15.76,22.69
"R.
tanezumi",34,20.13,1.22,16.76,22.47,7.38,0.38,6.39,8.18,7.45,0.51,6.22,8.62,20.76,1.09,17.81,22.59
R. andamanensis,44,21.36,1.73,17.89,24.02,7.55,0.62,6.11,8.70,7.39,0.52,6.25,8.89,21.70,1.84,17.70,24.65
R. norvegicus,69,21.66,1.93,17.01,27.14,7.35,0.47,6.32,8.55,7.40,0.56,6.51,8.68,22.02,2.33,17.02,29.63
R. exulans,4,16.87,0.87,15.73,17.84,6.12,0.45,5.56,6.51,6.51,0.26,6.15,6.73,16.24,0.94,15.21,17.49
R. rattus,5,19.61,0.83,18.83,20.88,6.73,0.38,6.41,7.39,7.41,0.48,6.99,8.24,19.48,0.98,18.43,20.70
,,,HBL,,,,TL,,,,HFL,,,,EL,,
,n,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum,Mean,SD,Minimum,Maximum
R. nitidus,46,164.59,18.34,123.00,205.00,168.09,18.38,131.00,210.00,34.14,2.12,30.00,40.00,23.25,2.21,18.00,28.00
R. nitidus nitidus,31,161.32,19.18,123.00,205.00,161.81,16.71,131.00,192.00,33.79,1.89,30.00,37.00,22.96,2.16,18.00,27.00
R. nitidus thibetanus,15,171.33,14.84,155.00,205.00,181.07,14.81,162.00,210.00,34.87,2.45,31.00,40.00,23.87,2.26,19.00,28.00
"R.
losea",31,152.07,20.82,103.00,192.00,145.58,15.64,110.00,192.00,28.58,2.04,24.00,32.00,19.12,2.95,12.00,27.00
"R.
tanezumi",34,162.91,10.46,128.00,180.00,173.09,16.06,144.00,205.00,31.25,1.72,28.00,35.00,21.72,2.24,18.00,26.00
R. andamanensis,44,173.02,19.54,126.00,212.00,186.89,24.45,115.00,231.00,31.65,1.87,27.00,36.00,23.15,2.29,19.00,32.00
R. norvegicus,69,182.62,24.50,120.00,274.00,152.67,20.80,82.00,222.00,34.42,3.59,26.00,41.00,17.72,2.23,11.00,21.00
R. exulans,4,115.50,14.27,101.00,135.00,138.00,8.17,126.00,144.00,23.70,1.39,22.00,26.00,16.75,0.50,16.00,17.00
R. rattus,5,170.80,16.99,150.00,194.00,190.60,11.80,180.00,210.00,33.00,2.24,30.00,36.00,22.60,1.82,20.00,25.00
