0,1,2,3,4,5,6,7
"Table 3. Orthomyxoviridae family reads assembly, BLAST search and coverage.",,,,,,,
,,,,,,Coveragea,
Contig name,Contig length,Classification,"Closest
identity","Segment
(aa length)",,(aa identity),No. of assembled reads
contig1,2314,Quaranjavirus,Tjuloc virus,PB2 (782),,20–756 (32%),1915
contig2,1579,Quaranjavirus,Wellfleet Bay virus,NP (537),,37–537 (33%),998
contig3,1430,Quaranjavirus,Tjuloc virus,HA (511),,54–511 (40%),536
contig4,2245,Quaranjavirus,Wellfleet Bay virus,PB1 (770),,37–762 (52%),302
contig5,1817,Quaranjavirus,Wellfleet Bay virus,PA (784),,164–769 (39%),246
contig6,218,Quaranjavirus,Wellfleet Bay virus/,NP (537)/Hypothetical,(524),356–445 (38%)/,5
,,,Tjuloc virus,,,342–432(38%),
