0,1,2,3,4,5,6,7,8,9,10
,,,,Table 6. Stratiﬁed analyses by various nutritional markers.,,,,,,
,,,All-Cause Mortality,,,Cardiovascular Mortality,,,Infection-Mortality,
,UA Tertiles,,,,,,,,,
,,aHR (95% CI),p-Value,Pinteraction,aHR (95% CI),p-Value,Pinteraction,aHR (95% CI),p-Value,Pinteraction
,Tertile 2,0.93 (0.52–1.68),0.82,0.39,0.94 (0.49–1.81),0.85,0.34,1.11 (0.16–7.9),0.91,0.43
BMI ≥ 23.1,,,,,,,,,,
,Tertile 3,0.38 (0.17–0.86),0.02,0.41,0.24 (0.09–0.66),0.006,0.22,0.51 (0.07–3.54),0.49,0.38
,Tertile 2,1.16 (0.64–2.09),0.63,,1.17 (0.48–2.85),0.72,,1.12 (0.38–3.33),0.83,
BMI < 23.1,,,,,,,,,,
,Tertile 3,0.33 (0.15–0.71),0.005,,0.39 (0.13–1.11),0.08,,0.86 (0.23–3.21),0.83,
,Tertile 2,1.32 (0.65–2.69),0.44,0.81,1.08 (0.42–2.75),0.87,0.81,2.02 (0.46–8.78),0.34,0.10
Albumin ≥ 3.4,,,,,,,,,,
,Tertile 3,0.38 (0.15–0.92),0.03,0.14,0.48 (0.16–1.43),0.18,0.64,0.81 (0.10–6.38),0.84,0.36
,Tertile 2,0.80 (0.49–1.33),0.39,,0.94 (0.48–1.81),0.85,,0.48 (0.17–1.37),0.17,
Albumin < 3.4,,,,,,,,,,
,Tertile 3,0.47 (0.25–0.90),0.02,,0.54 (0.23–1.27),0.15,,0.39 (0.13–1.19),0.09,
,Tertile 2,1.17 (0.64–2.16),0.61,0.43,1.09 (0.52–2.32),0.81,0.48,1.05 (0.17–6.38),0.96,0.28
Cholesterol ≥ 181,,,,,,,,,,
,Tertile 3,0.59 (0.26–1.34),0.21,0.85,0.47 (0.16–1.35),0.16,0.41,0.87 (0.16–4.76),0.87,0.75
,Tertile 2,0.68 (0.36–1.28),0.22,,0.55 (0.22–1.37),0.20,,0.88 (0.35–2.22),0.79,
Cholesterol < 181,,,,,,,,,,
,Tertile 3,0.41 (0.20–0.84),0.01,,0.54 (0.21–1.36),0.19,,0.51 (0.16–1.56),0.24,
,Tertile 2,1.02 (0.47–2.24),0.95,0.09,0.42 (0.15–1.16),0.09,0.47,0.86 (0.16–4.64),0.86,0.28
nPNA ≥ 1.03,,,,,,,,,,
,Tertile 3,0.39 (0.15–1.01),0.05,0.96,0.25 (0.07–0.88),0.03,0.95,0.93 (0.21–4.17),0.93,0.59
,Tertile 2,1.16 (0.71–1.92),0.55,,0.87 (0.35–2.19),0.77,,0.78 (0.3–2.03),0.61,
nPNA < 1.03,,,,,,,,,,
,Tertile 3,0.56 (0.29–1.08),0.08,,0.43 (0.13–1.44),0.17,,0.43 (0.14–1.32),0.14,
,Tertile 2,0.96 (0.41–2.24),0.92,0.21,1.03 (0.28–3.78),0.96,0.99,1.05 (0.19–5.71),0.95,0.04
Phosphorus ≥ 5.4,,,,,,,,,,
,Tertile 3,0.26 (0.09–0.69),0.007,0.23,0.50 (0.14–1.76),0.28,0.63,0.59 (0.08–4.32),0.60,0.51
,Tertile 2,0.84 (0.51–1.36),0.47,,0.86 (0.44–1.67),0.65,,0.45 (0.17–1.17),0.10,
Phosphorus < 5.4,,,,,,,,,,
,Tertile 3,0.54 (0.28–1.01),0.05,,0.36 (0.14–0.94),0.03,,0.41 (0.14–1.15),0.09,
,Tertile 2,0.89 (0.44–1.83),0.76,0.39,0.87 (0.28–2.77),0.82,0.97,0.51 (0.09–2.58),0.41,0.11
Creatinine ≥ 9.6,,,,,,,,,,
,Tertile 3,0.41 (0.15–1.09),0.07,0.99,0.21 (0.04–1.16),0.07,0.96,0.51 (0.08–3.18),0.47,0.56
,Tertile 2,0.82 (0.49–1.36),0.45,,0.96 (0.46–2.01),0.91,,0.51 (0.21–1.28),0.15,
Creatinine < 9.6,,,,,,,,,,
,Tertile 3,0.39 (0.21–0.75),0.004,,0.39 (0.15–1.04),0.06,,0.56 (0.17–1.81),0.33,
,"Note: reference group is the tertile 1 of uric acid. The median values of these parameters were used to divide the entire cohort into two subgroups. Abbreviations: UA, uric acid; BMI, body",,,,,,,,,
