0,1,2,3,4
Table 3.,"Confirmed Pathogens at Day 0 and Overall Frequency of Isolation at Day 3, by Treatment Group",,,
Confirmed Pathogen at Day 0,NTZ + SOC (n = 130),Placebo + SOC (n = 127),Total (N = 257),P Valuea
Influenza A,25 (19.2),25 (19.7),50 (19.5),.93
H1N1,11 (8.5),14 (11.0),25 (9.7),.40
Non-H1N1,14 (10.8),11 (8.7),25 (9.7),.40
Influenza B,5 (3.9),3 (2.4),8 (3.1),.49
RSV,23 (17.7)b,26 (20.5),49 (19.1),.57
RSV-A,11 (8.5),19 (15.0),30 (11.7),.07
RSV-B,13 (10),7 (5.5),20 (7.8),.04
Human metapneumovirus,10 (7.7),16 (12.6),26 (10.1),.19
Rhinovirus/enterovirus,31 (23.9),28 (22.1),59 (23.0),.73
Adenovirus,2 (1.5),1 (0.8),3 (1.2),.58
Parainfluenza virus,12 (9.2),12 (9.5),24 (9.3),.95
Type 1,1 (0.8),2 (1.6),3 (1.2),.55
Type 2,0 (0),1 (0.8),1 (0.4),.31
Type 3,7 (5.4),10 (7.9),17 (6.6),.42
Type 4,4 (3.1),0 (0),4 (1.6),.05
Bocavirus,4 (3.1),1 (0.8),5 (2.0),.18
Coronavirus,5 (3.9),12 (9.5),17 (6.6),.07
NL63,1 (0.8),5 (3.9),6 (2.3),.09
229E,1 (0.8),3 (2.4),4 (1.6),.30
OC43,3 (2.3),4 (3.2),7 (2.7),.68
Mycoplasma pneumoniae,2 (1.5),2 (1.6),4 (1.6),.98
Chlamydophila pneumoniae,0 (0),1 (0.8),1 (0.4),.31
Bordetella pertussis,6 (4.6),0 (0),6 (2.3),.01
Pathogen category,,,,
No pathogens identified,29 (22.3),19 (15.0),48 (18.7),…
1 pathogen identified,79 (60.8),89 (70.1),168 (65.4),…
Coinfections identified,22 (16.9),19 (15.0),41 (16.0),.24
Day 3,,,,
No detectable virus,17 (21.5),19 (21.3),36 (21.4),.98
Same detectable virus,56 (70.9),61 (68.5),117 (69.6),…
Different detectable virus,6 (7.6),9 (10.1),15 (8.9),…
