0,1,2,3,4,5,6,7,8
,Table 2. Blood chemistry of control and nanocomplexes treated monkeys.,,,,,,,
,Control Group,,,,,Nanocomplex Treated Group,,
Date of blood drawn,0,16,36,66,0,16,36,66
Glucose,84.5,79.3,80.3,84.0,80.75,79.75,75.5,64.5
Urea Nitrogen,18.8,16.3,16.3,24.0,14.5,16,15.5,17
Creatinine,0.8,0.7,1.0,1.0,0.775,0.625,0.925,1.025
Total Protein,7.8,7.5,7.6,7.1,8.05,7.575,7.55,7.575
Albumin,4.6,4.5,4.7,4.4,4.325,3.95,4.25,4.475
Total Bilirubin,0.1,0.2,0.2,0.2,0.1,0.125,0.125,0.1
Alkaline Phosphatase,73.0,92.5,93.3,85.5,78.5,130.25,105.75,109.5
AST (SGOT),32.3,32.8,31.3,55.8,25,42.25,33.5,28.25
Cholesterol,140.5,139.3,139.0,139.8,178.25,175.25,178.25,182.25
Calcium,10.0,9.9,9.8,9.4,10.25,9.9,10.025,9.85
Phosphorous,3.5,3.5,3.3,4.0,3.65,4.125,4.275,3.675
Sodium,149.8,147.5,151.8,154.3,146.25,147.75,151.75,155.25
Potassium,9.7,3.8,3.5,3.7,16.65,3.925,3.85,3.925
Chloride,108.3,108.5,110.0,110.3,103.5,107,109,110.25
Albumin/Globulin Ratio,1.4,1.5,1.6,1.7,1.175,1.1,1.325,1.475
BUN/Creatinine Ratio,24.0,24.8,16.5,25.5,19.25,25.75,16.75,16.75
Globulin,3.3,3.0,2.9,2.7,3.725,3.625,3.3,3.1
Amylase,275.5,308.3,303.0,312.8,254,328.25,313.75,330.75
Triglycerides,70.5,115.5,81.5,74.5,82.5,85,78.5,94.25
GGTP,45.3,42.8,46.5,46.3,31.75,30,33.5,38
Magnesium,1.6,1.7,1.7,1.8,1.65,1.65,1.775,1.825
doi:10.1371/journal.pone.0135288.t002,,,,,,,,
