0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 3  Ventilatory support data during the study period; data are presented as number (%) or mean (SD),,,,,,,,,,,,,,,
,Day 1,,,Day 3,,,Day 7,,,Day 10,,,Day 14,,
,ECMO (n,17),Non-ECMO,ECMO (n,14),Non-ECMO,ECMO (n,14),Non-ECMO,ECMO (n,14),Non-ECMO,ECMO (n,14),Non-ECMO
,=,,,=,,,=,,,=,,,=,,
,,,"(n 
 18)",,,"(n 
 15)",,,"(n 
 15)",,,"(n 
 15)",,,"(n 
 14)"
,,,=,,,=,,,=,,,=,,,=
Invasive ventila‑,17 (100%),,18 (100%),14 (100%),,16 (100%),14 (100%),,15 (100%),11 (78.6%),,14 (93.3%),5 (35.7%),,13 (92.9%)*
tion n (%),,,,,,,,,,,,,,,
Mode of ventilation,,,,,,,,,,,,,,,
CMV,6 (35.3%),,10 (55.6%),7 (50%),,11 (68.8%),6 (42.8%),,8 (53.3%),4 (36.4%),,6 (42.9%),1 (20%),,11 (84.6%)*
PCV,3 (17.6%),,2 (11.1%),4 (28.6%),,1 (6.3%),4 (28.5%),,3 (20%),3 (27.3%),,5 (35.7%),3 (60%),,0 (0%)*
VCV,4 (23.5%),,4 (22.2%),1 (7.1%),,2 (12.5%),1 (7.1%),,1 (6.7%),1 (9.1%),,2 (14.3%),1 (20%),,0 (0%)
PRVC,2 (11.8%),,1 (5.6%),3 (21.4%),,0 (0%),1 (7.1%),,2 (13.3%),0 (0%),,1 (7.1%),0 (0%),,1 (7.7%)
APRV,1 (6.7%),,1 (5.6%),1 (7.1%),,0 (0%),1 (7.1%),,1 (6.7%),0 (0%),,0 (0%),0 (0%),,1 (7.7%)
SIMV,1 (5.9%),,0 (0%),0 (0%),,0 (0%),0 (0%),,0 (0%),1 (9.1%),,0 (0%),0 (0%),,0 (0%)
PSV,0 (0%),,0 (0%),0 (0%),,0 (0%),0 (0%),,0 (0%),1 (9.1%),,0 (0%),0 (0%),,0 (0%)
CPAP,0 (0%),,0 (0%),0 (0%),,0 (0%),0 (0%),,0 (0%),1 (9.1%),,0 (0%),0 (0%),,0 (0%)
HFOV,0 (0%),,0 (0%),0 (0%),,1 (6.3%),1 (7.1%),,0 (0%),0 (0%),,0 (0%),0 (0%),,0 (0%)
FiO2 (%),0.67 (0.29),,0.80 (0.24),0.59 (0.24),,0.79 (0.25)*,0.50 (0.21),,0.73 (0.24)*,0.50 (0.25),,0.66 (0.27),0.33 (0.17),,0.72 (0.38)*
PaO2/FiO2 ratio,115 (110.2),,109 (93.9),109 (81.51),,63 (62.7),124 (106.9),,63 (66.1)*,138 (139.5),,36 (66.4)*,237 (42.11),,85 (31.95)*
(%),,,,,,,,,,,,,,,
PEEP (cm  H2O),12 (3.97),,12 (6.4),13 (3.94),,14 (4.8),11 (3.61),,14 (5.6),11 (4.04),,11 (5.7),10 (7.20),,13 (7.0)
Use of NMBs,8 (53.3%),,12 (66.7%),10 (76.9%),,12 (80%),10 (71.4),,8 (53.3%),4 (36.4%),,3 20%),2 (40%),,0 (0%)
n (%),,,,,,,,,,,,,,,
