0,1,2,3,4,5,6,7
"Detection rate of viral, bacterial and parasitic pathogens in stool samples with the mean Ct value obtained in",,,,,,,
(RT-)qPCR.,,,,,,,
,AGE group,,,control group,,,"2 or 
χ"
,,,,,,,Fisher
,Prevalence N (%),95% CI,Ct-mean (S.D.),Prevalence N (%),95% CI,Ct-mean (S.D.),exact
,,,,,,,*
,,,,,,,test
VIRUSES,245/297 (82.5),78-87,,14/88 (15.9),8-24,,p<0.001
RoV,165/297 (55.6),50- 61,18.24 (5.2),1/88 (1.1),0 - 3,37.7,p<0.001
AdV,22/297 (7.4),15 - 24,16.41 (9.5),0/88 (0),/,/,p<0.001
AstV,16/297 (5.4),3- 8,17.65 (9.1),0/88 (0),/,/,p=0.028
NoVII,44/297 (14.8),11 - 19,23.63 (6.3),3/88 (3.4),0 - 7,24.8 (4.0),p=0.004
NoVI,9/297 (3.0),1 - 5,28.14 (8.7),1/88 (1.1),0 - 3,31.0,p=0.468
HSaV,13/297 (4.4),2 - 7,29.06 (8.0),4/88 (4.5),0 - 9,29.2 (8.5),p=1.000
CoV,2/297 (0.7),0 - 2,36.27 (3.1),0/88 (0),/,/,p=1.000
BoV1,7/297 (2.4),1 - 4,30.88 (6.7),2/88 (2.3),0 - 5,33.7 (1.8),p=1.000
BoV2/4,7/297 (2.4),1 - 4,28.81 (8.9),2/88 (2.2),0 - 5,38.0 (1.1),p=1.000
BoV3,2/297 (0.7),0 - 2,35.42 (2.0),0/88 (0),/,/,p=1.000
PeV,48/297 (16.2),12- 20,33.25 (5.5),3/88 (3.4),0 - 7,28.5 (3.9),p=0.002
BACTERIA,81/295 (27.3),22-33,,9/88 (10.2),4-17,,p<0.001
**,***,8 - 16,n.d.,***,0 - 11,n.d.,p=1.000
Escherichia coli,"30/257
 (11.7)",,,"4/73
 (5.5)",,,
Campylobacter jejuni/coli,15/295 (5.1),3 - 8,28.96 (4.5),0/88 (0),/,/,p=0.031
Salmonella sp.,14/295 (4.7),2 - 7,27.02 (6.8),0/88 (0),/,/,p=0.037
"Y
ersinia sp.",0/295 (0),/,/,0/88 (0),/,/,/
Shigella sp.,1/295 (0.3),0 - 1,23.18,0/88 (0),/,/,p=1.000
"C
l
ostridium difficile",24/295 (8.1),5 - 11,32.18 (4.7),5/88 (5.7),1 - 11,32.8 (4.2),p=0.480
PARASITES,9/295 (3.0),1-5,,1/88 (1.1 ),0-3,,p=0.329
Cryptosporidium sp.,8/295 (2.7),1 - 5,26.56 (2.4),1/88 (1.1),0 - 3,28.9,p=0.468
"G
i
ardia duodenalis",1/295 (0.3),0 - 1,31.0,0/88 (0),/,/,p=1.000
