0,1,2,3,4,5,6,7,8,9,10
,,,Geometric mean antibody titers of positive pigs (no. of positive pigs/total no.),,,,,,,
,,,14 days post ﬁrst inoculation,,Time of challenge,,,,14 days post challenge,
Group,,A/Vic/75,A/Wis/05,sw/Gent/08,A/Vic/75,A/Wis/05,sw/Gent/08,A/Vic/75,A/Wis/05,sw/Gent/08
Challenge control,,,,,,,,,,
,HI,<*,<,<,<,<,<,12 (4/4),<,160 (4/4)
,VN,<,<,<,<,<,<,20 (4/4),<,347 (4/4)
,NI,n.d.,n.d.,n.d.,<,<,<,34 (4/4),<,381 (4/4)
,sw/Gent/08-sw/Gent/08,,,,,,,,,
,HI,13 (5/8),<,104 (8/8),10 (4/8),<,52 (8/8),10 (1/4),<,57 (4/4)
,VN,9 (8/8),2 (1/8),268 (8/8),5 (8/8),2 (4/8),206 (8/8),12 (4/4),3 (3/4),292 (4/4)
,NI,n.d.,n.d.,n.d.,17 (5/8),<,320 (8/8),25 (3/4),<,269 (4/4)
,A/Vic/75-sw/Gent/08,,,,,,,,,
,HI,52 (8/8),<,13 (3/8),13 (8/8),<,<,67 (4/4),<,80 (4/4)
,VN,83 (8/8),2 (3/8),15 (8/8),58 (8/8),3 (3/8),14 (8/8),491 (4/4),5 (2/4),457 (4/4)
,NI,n.d.,n.d.,n.d.,20 (8/8),<,13 (6/8),381 (4/4),<,269 (4/4)
,A/Wis/05-sw/Gent/08,,,,,,,,,
,HI,<,80 (8/8),<,<,24 (8/8),<,14 (4/4),453 (4/4),226 (4/4)
,VN,2 (3/8),41 (8/8),4 (1/8),2 (1/8),27 (8/8),3 (2/8),17 (4/4),431 (4/4),264 (4/4)
,NI,n.d.,n.d.,n.d.,<,10 (8/8),<,135 (4/4),381 (4/4),1076 (4/4)
