0,1,2,3,4,5,6,7,8,9,10
Table 6: Resistance trend in isolates of Salmonella spp. over 5 years in Kuwait,,,,,,,,,,
Antibiotic,,,,Percentage (%) of resistant isolates in:,,,,,,
,1999 (n = 216),,2000 (n = 215),,2001 (n = 129),,2002 (n = 167),,2003 (n = 165),
Amikacin,,0,,0,,0,,0,,0
Ampicillin,,6,,12,,7,,25,,26
Amoxicillin-,,5,,10,,7,,2,,0
clavulanate,,,,,,,,,,
Cefotaxime,,0,,1,,0,,1,,0
Ceftriaxone,,0,,1,,0,,2,,0
Cefuroxime,,1,,1,,0,,27,,41
Cephalexin,,2,,10,,37,,57,,50
Chloramphenicol,,8,,21,,0,,18,,18
Ciprofloxacin,,0,,0,,14,,10,,16
TMP/SMX,,8,,8,,10,,20,,20
Gentamicin,,6,,1,,0,,42,,42
Imipenem,,0,,0,,0,,0,,0
Meropenem,,0,,0,,0,,0,,0
Piperacillin,,6,,13,,13,,23,,25
Piperacillin/,,0,,0,,0,,0,,0
tazobactam,,,,,,,,,,
