0,1,2,3
≥8 (µ 11.2),128 (21.3),79 (20.3),49 (23.2)
Ethnicity,,,
Iban,441 (73.5),253 (65.0),188 (89.1)
Malay,42 (7.0),36 (9.3),6 (2.8)
Chinese,46 (7.7),43 (11.1),3 (1.4)
Other,71 (11.8),57 (14.7),14 (06.6)
Pre-existing Conditions,,,
Hypertension,89 (14.8),76 (19.5),13 (6.2)
Diabetes mellitus,37 (6.2),31 (8.0),6 (2.8)
Lung disease,116 (19.3),112 (28.8),4 (1.9)
Other,60 (10.0),54 (13.9),6 (2.8)
None,389 (64.8),197 (50.6),192 (91.0)
Medical Treatment in Last 6 Months,,,
Diabetes medicine,36 (6.0),30 (6.5),6 (3.4)
Hypertension medicine,84 (14.0),73 (14.3),11 (12.5)
Corticosteroids,93 (15.5),86 (22.1),7 (3.3)
Other,48 (8.0),47 (12.1),1 (0.5)
None,405 (67.5),211 (54.2),194 (91.9)
Animal Contactb,,,
Pigs,18 (3.0),15 (3.9),3 (1.4)
Chickens,68 (11.3),41 (10.5),27 (12.8)
Ducks and other poultry,33 (5.5),11 (2.8),2 (1.0)
Cats,141 (23.7),117 (30.0),24 (11.4)
Dogs,73 (12.2),57 (14.7),16 (7.6)
Otherc,177 (29.5),144 (37.0),33 (15.6)
None,326 (54.3),117 (30.1),149 (70.6)
Month of Enrollment,,,
June 15–July 14,97 (16.2),53 (13.6),44 (20.9)
July 15–August 14,51 (8.5),43 (11.1),8 (3.8)
August 15–September 14,41 (6.8),30 (7.7),11 (5.2)
September 15–October 14,53 (8.9),28 (7.2),25 (11.8)
October 15–November 14,47 (7.8),32 (8.2),15 (7.1)
November 15–December 14,42 (7.0),26 (6.7),16 (7.6)
December 15–January 14,43 (7.2),27 (6.9),16 (7.6)
January 15–February 14,71 (11.9),44 (11.3),27 (12.8)
February 15–March 14,40 (6.7),24 (6.2),16 (7.6)
March 15–April 14,43 (7.2),28 (7.2),15 (7.1)
April 15–May 14,72 (12.0),54 (13.9),18 (8.5)
"Abbreviations: µ, mean age within category.",,,
