0,1,2,3,4,5,6,7,8,9,10,11
Table 3: Infection of rhesus monkeys with LACV results in limited changes in blood chemistries or cell counts.,,,,,,,,,,,
,,,,,Mean test value on indicated day post inoculationa,,,,,,
Testb,Unit,Mean ± SDc,2,4,6,8,10,12,14,21,28
CBC,,,,,,,,,,,
White blood count,THSN/UL,9.7 ± 2.9,7.9,9.2,9.2,8.3,8.2,8.5,8.0,6.7,7.2
Red blood count,MILL/UL,5.7 ± 0.3,5.5,5.4,5.3,4.8,5.0,5.2,5.2,5.4,5.1
Hemoglobin,GM/DL,12.8 ± 0.5,12.7,12.3,11.9,11.0,11.5,11.6,11.4,12.1,11.8
Hematocrit,Percent,38.9 ± 1.7,38.7,37.7,36.8,33.8,35.8,35.8,35.8,38.2,37.1
MCV,FL,68.5 ± 2.7,71,70.4,68.9,68.1,71.1,68.6,69.9,70.2,72.2
MCH,PICO GM,22.5 ± 0.8,23.3,23.0,22.4,22.4,22.8,22.2,22.0,22.2,23.0
MCHC,Percent,32.9 ± 0.8,32.9,32.7,32.5,32.7,32.0,32.4,31.4,31.7,31.9
Platelet,THSN/UL,391.7 ± 83.6,419.4,371.3,348.2,395.3,449.9,432.2,431.4,445.2,389.5
Differential,,,,,,,,,,,
Absolute polys,THSN/UL,3550.7 ± 1779.4,2057.5,4299.9,3888.3,4243.2,3539.1,3649.1,2758.6,2291.6,2510.0
Bands,THSN/UL,0 ± 0,0,0,0,0,0,0,0,0,0
Lymphocytes,THSN/UL,5301.9 ± 1830.4,5142.9,4347.6,4773.3,3727.5,4054.3,4300.8,4187.0,3817.5,3803.4
Monocytes,THSN/UL,342.9 ± 148.0,362.1,351.6,365.4,297.1,341.0,277.2,272.0,253.8,241.5
Eosinophils,THSN/UL,257.6 ± 181.1,209.8,200.8,230.0,167.9,290.6,235.9,213.7,229.6,180.8
Basophiles,THSN/UL,0 ± 0,0,0,0,8.1,0,0,0,13.8,0
Chemistry,,,,,,,,,,,
Sodium,MEQ/L,152.2 ± 3.5,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2,152.2
Potassium,MEQ/L,3.9 ± 0.5,4.2,3.9,3.8,3.6,4.1,3.8,4.1,4.2,3.8
Chloride,MEQ/L,110.6 ± 3.5,110.6,110.2,109.1,108.1,110.4,105.0,107.1,110.3,106.7
Calcium total,MG/DL,9.7 ± 0.3,9.5,9.5,9.3,9.0,9.4,9.6,9.4,9.6,9.8
Phosphorus,MG/DL,5.9 ± 1.0,5.9,5.8,5.4,5.6,5.9,5.8,5.6,5.8,6.7
Magnesium,MEQ/L,1.7 ± 0.2,1.8,1.7,1.6,1.7,1.8,1.6,1.6,1.6,1.8
AST (SGOT),U/L,38.5 ± 7.4,39.1,43.7,46.8,41.3,43.2,48.4,39.6,36.4,55.0
ALT (SGPT),U/L,29.4 ± 9.5,31.2,34.1,35.9,36.4,34.8,34.8,33.0,26.5,30.9
ALP,U/L,692.0 ± 166.2,604.5,586.1,597.0,597.8,510.1,532.6,548.5,529.4,553.5
Amylase,U/L,203.0 ± 56.0,231.5,219.3,211.1,203.2,221.8,228.8,216.5,206.3,215.6
Glucose,MG/DL,65.0 ± 11.3,76.9,88.6,116.7,132.8,70.4,66.8,65.4,64.8,66.8
BUN,MG/DL,20.0 ± 7.5,18.5,19.2,16.6,18.1,22.9,18.9,18.7,16.3,22.0
Creatinine,MG/DL,0.8 ± 0.2,0.7,0.8,0.7,0.8,0.7,0.7,1.2,0.8,0.8
Cholesterol,MG/DL,153.8 ± 31.4,157.1,153.6,139.8,142.3,158.6,150.3,148.6,146.3,151.6
Triglyceride,MG/DL,65.3 ± 21.7,47.1,59.9,75.4,49.5,37.7,61.1,70.5,58.7,60.8
"Bilirubin, total",MG/DL,0.2 ± 0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2
Albumin,G/DL,4.5 ± 0.2,4.5,4.5,4.2,4.2,4.4,4.3,4.2,4.3,4.6
"Protein, total",G/DL,6.9 ± 0.3,6.9,6.9,6.5,6.5,6.9,6.6,6.6,6.8,7.2
Globulin,G/DL,2.4 ± 0.2,2.4,2.4,2.3,2.4,2.5,2.4,2.4,2.6,2.6
Lipase-PS,U/L,32.4 ± 27.6,30.4,27.7,53.1,25.4,32.2,38.4,39.5,33.1,28.7
"Osmolality, Calculated",mOsm/kg,306.0 ± 55.1,298.1,300.1,299.6,292.6,297.1,286.8,288.1,296.3,288.9
