0,1,2,3
"Cells 2014, 3",,,
,,Table 2. Cont.,
,Viral,,
Virus,,Target protein,Reference
,protein,,
,,EBV ribonucleotide,
,,,Whitehurst et al. 2009 [97]
,,reductase (viral),
Epstein-Barr Virus,BPLF1,,
,,PCNA,
,,,Kumar et al. 2014 [99]
,,Rad18,
Crimean-Congo,,,
,vOTU,Unknown,Akutsu et al. 2011 [105]
Hemorrhagic Fever Virus,,,
Marek's Disease Virus,UL36,Unknown,Isaacson et al. 2009 [80]
Human coronavirus,PLpro,Unknown,Mielech et al. 2014 [106]
Turnip Yellow Mosaic,PRO,Unknown,Lombardi et al. 2013 [107]
Virus,98K,RdRp (viral),Chenon et al. 2012 [108]
Porcine Epidemic,,RIG-I,
,PLP2,,Xing et al. 2013 [109]
Diarrhea Virus,,STING,
Porcine Reproductive and,,,
,nsp2,IkBα,Sun et al. 2010 [110]
Respiratory Syndrome Virus,,,
,,Adenoviral and cellular,
Adenovirus,Avp,,Balakirev et al. 2002 [111]
,,proteins unknown,
