0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Table 3 Selected etiologic diagnoses according to travel region among 6957 patients seen at EuroTravNet core sites in,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,
,,Total,Caribbean,Central,Europe,Middle,North,North,Other,South,South,South,Sub-,No
,,N %,,America,,East,Africa,East,,America,Central,East,Saharan,single
,,,,,,,,Asia,,,Asia,Asia,Africa,region
,Acute Diarrhea,1205,27,42,67,33,119,15,6,70,263,131,319,113
,,17%,24%,32%,20%,31%,36%,19%,8%,15%,39%,21%,18%,5%
Campylobacter,,87,0,0,4,6,6,2,0,4,25,17,16,7
,,1%,0%,0%,1%,6%,2%,3%,0%,1%,4%,3%,1%,0%
Shigella,,333,5,8,13,11,27,4,1,12,76,31,108,37
,,5%,4%,6%,4%,10%,8%,5%,1%,3%,11%,5%,6%,2%
Salmonella NT,,59,1,1,5,1,7,1,0,3,5,7,19,9
,,1%,1%,1%,2%,1%,2%,1%,0%,1%,1%,1%,1%,0%
Giardia,,193,2,5,7,4,7,0,0,13,74,15,47,19
,,3%,2%,4%,2%,4%,2%,0%,0%,3%,11%,2%,3%,1%
Amebas,,25,1,1,0,0,1,0,0,2,10,1,7,2
,,0%,1%,1%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%
Febrile,,1378,23,21,46,16,22,17,9,70,116,160,602,276
Systemic*,,20%,20%,16%,14%,15%,7%,22%,12%,15%,17%,25%,33%,13%
P.,falciparum,255,2,0,0,0,2,0,0,1,3,0,241,6
Malaria,,,,,,,,,,,,,,
,,4%,2%,0%,0%,0%,1%,0%,0%,0%,0%,0%,13%,0%
Malaria other,,116,0,0,0,0,2,0,3,11,12,1,82,5
,,2%,0%,0%,0%,0%,1%,0%,4%,2%,2%,0%,5%,0%
Dengue,,131,6,7,0,0,1,1,0,13,21,60,9,13
,,2%,5%,5%,0%,0%,0%,1%,0%,3%,3%,10%,1%,1%
Chikungunya,,12,0,0,0,0,0,0,0,0,4,0,8,0
,,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
Rickettsiosis,,50,0,0,6,1,0,2,0,1,1,0,36,3
,,1%,0%,0%,2%,1%,0%,3%,0%,0%,0%,0%,2%,0%
Salmonellosis,,20,0,0,1,0,1,0,0,0,8,2,6,2
,,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%
Dermatologic,,851,35,34,62,14,43,9,27,83,72,140,216,116
,,12%,30%,26%,18%,13%,13%,12%,37%,18%,11%,22%,12%,5%
Rabies PEP,,65,0,2,6,4,19,1,2,5,2,17,7,0
,,1%,0%,2%,2%,4%,6%,1%,3%,1%,0%,3%,0%,0%
,Arthropods’ bite,177,9,5,24,3,5,2,7,18,14,43,37,10
,,3%,8%,4%,7%,3%,2%,3%,10%,4%,2%,7%,2%,1%
Larva migrans,,97,3,6,1,0,1,0,2,17,10,24,28,5
,,1%,3%,5%,0%,0%,0%,0%,3%,4%,2%,4%,2%,0%
Bacterial,,229,14,11,15,5,6,2,9,13,23,33,63,35
infection,,,,,,,,,,,,,,
,,3%,12%,8%,4%,5%,2%,3%,12%,3%,3%,5%,4%,2%
Leishmaniasis,,15,0,2,1,0,3,0,0,3,1,0,0,5
,,0%,0%,2%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%
Myiasis,,22,0,3,0,0,0,0,0,6,0,0,12,1
,,0%,0%,2%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%
