0,1,2,3,4,5,6,7,8,9,10
Table 4. Monthly Distribution of Respiratory Viruses (2014 - 2015),,,,,,,,,,
Month,IFV-A,IFV-B,RV/EV,HBoV,RSV A/B,AdV,HCoVs,PIVs,HMPV,Total (n)
September,7,0,8,8,1,2,1,2,2,31
October,11,0,10,5,2,3,2,0,3,36
November,10,0,10,9,5,3,2,2,4,45
December,11,0,15,11,6,3,4,3,4,57
January,8,20,14,4,15,4,4,3,6,78
February,10,24,3,0,2,1,3,0,1,44
March,86,83,2,0,7,3,8,0,8,197
April,33,19,10,8,5,10,13,3,4,105
May,9,6,12,9,9,9,1,2,0,57
June,9,3,3,9,4,8,3,7,3,49
July,15,2,12,19,6,8,6,9,0,77
August,10,0,8,9,2,2,4,9,1,45
Total (n),219,157,107,91,64,56,51,40,36,821
