0,1,2,3,4,5,6,7,8,9,10
,,Female,,,,Male,,,TOTAL,
,20–44,45–64,> 64,Total,20–44,45–64,> 64,Total,,
,(n = 14),(n = 48),(n = 146),(n = 208),(n = 6),(n = 10),(n = 57),(n = 73),(N = 281),
Environmental Cause,,,,,,,,,,
Uneven floor,11,41,113,165,3,4,46,53,218,78
curb,1,6,10,17,0,1,6,7,24,9
Loose bricks,1,2,6,9,0,0,4,4,13,5
Obstacle,2,4,16,22,0,0,5,5,27,10
Steps,1,2,11,14,0,0,6,6,20,7
Stairs,3,8,2,13,0,1,2,3,16,6
Uneven pavement,3,19,68,90,3,2,23,28,118,42
Slippery/Wet Floor,6,17,66,89,3,2,23,28,117,42
Any of above,1,10,54,65,1,0,17,18,83,30
