0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,,,,,,,Days Post Infection 1,,,,,,,
,,2,3,4,5,6,7,7,8,9,10,11,12,13,14,14
Virus,Animal ID,N,N,N,N,N,N,S,N,N,N,N,N,N,N,S
PI506 2,2661,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
,2664,−,35.6,−,−,−,−,−,−,−,−,−,−,−,−,−
,2665,−,35.4,−,−,−,−,−,−,−,−,−,−,−,−,−
,2676,−,−,−,37.8,36.6,36.7,36.0,37.1,−,−,−,−,−,−,−
,2682,−,−,−,−,−,−,−,37.1,−,−,−,−,−,−,−
,2684 4,31.7,32.8,36.7,36.5,34.8,32.8,34.7,−,−,−,−,−,36.5,36.5,−
,,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Trangie 2,2675,,,,,,,,,,,,,,,
,2677,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
,2685,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
,2686 4,39.0,−,−,−,−,−,−,−,−,−,−,−,−,−,−
,,35.3,34.3,−,−,33.6,32.0,32.0,36.3,−,−,−,−,−,−,−
AO554 3,2666 4,,,,,,,,,,,,,,,
,2668,−,−,34.8,39.5,33.8,32.4,35.7,−,−,37.3,−,−,−,−,−
,2669 4,−,36.6,37.1,−,32.0,31.6,33.7,32.6,37.5,−,−,−,−,−,−
,2673,37.0,−,−,−,37.3,39.8,35.9,37.4,−,−,−,−,−,−,−
,,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
NS155 3,2667,,,,,,,,,,,,,,,
,2672,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
,2674,−,−,−,−,38.4,−,−,−,−,−,−,−,−,−,−
,2680,−,−,−,−,−,−,34.3,36.5,−,−,−,−,34.6,−,39.0
,,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
VR1112 3,2662,,,,,,,,,,,,,,,
,2678,−,36.8,38.8,−,−,−,−,−,−,−,−,−,−,−,−
,2683,−,−,−,−,−,−,−,−,−,−,−,−,39.5,−,−
,,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
Contact 2,2663,,,,,,,,,,,,,,,
,2681,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
1 Samples collected on Day 0 and Day 1 were non-reactive with the qPCR assay. 2 Animals housed together in Containment Room 2. 3 Animals housed together in Containment Room 1.,,,,,,,,,,,,,,,,
