0,1,2,3
Table 2. Estimates of the best models by number of generations.,,,
Parameters,Two-generation model (G2),Three-generation model (G3),Four-generation model (G4)
d0,7,9,8
μIP,"5.8 (5.5, 6.0)","5.8 (5.5, 6.0)","5.8 (5.5, 6.1)"
σIP,"1.8 (1.6, 2.1)","1.8 (1.6, 2.1)","1.9 (1.6, 2.1)"
μTrans,"11.4 (9.1, 14.3)","10.3 (8.4, 12.6)","6.6 (5.8, 7.5)"
σTrans,"7.3 (5.5, 9.6)","4.9 (3.3, 7.2)","2.0 (1.2, 3.4)"
R0,15.1,13.6,4.0
R1,"9.3 (4.7, 18.6)","8.8 (4.5, 17.1)","5.4 (2.7, 10.5)"
R2,-,"0.2 (0.1, 0.8)","4.3 (1.1, 16.8)"
R3,-,-,"0.4 (0.2, 1.0)"
ε1,"0.7 (0.3, 0.9)","0.7 (0.2, 1.0)","0.3 (0.1, 0.7)"
ε2,"0.6 (0.2, 0.9)","0.8 (0.1, 1)","0.4 (0.1, 0.7)"
MSE,2.9,2.8,2.6
AICc,1855.0,1856.0,1855.2
