0,1,2,3,4,5,6,7,8,9
PLOS ONE,,"Table 2. Respiratory viruses detected in ILI patients from week 40, 2011 through week 22, 2012.",,,,,,,
,,"Total
(n = 1,100)",,Hospital A (n = 176) Hospital B (n = 46),,Hospital C (n = 337) Hospital D (n = 176) Hospital E (n = 23),,Hospital F (n = 58),Hospital G (n = 284)
,Influenza A,677 (61.5),110 (62.5),35 (76.1),227 (67.4),102 (58.0),19 (82.6),44 (75.9),140 (49.3)
| www.plosone.org,H3N2,606 (55.1),102 (58.0),33 (71.7),214 (63.5),85 (48.3),19 (82.6),44 (75.9),109 (38.4)
,A(H1N1)pdm09,2 (0.2),1 (0.6),–,–,1 (0.6),–,–,–
,unspecified,69 (6.3),7 (4.0),2 (4.3),13 (3.9),16 (9.1),–,–,31 (10.9)
,Influenza B,169 (15.4),39 (22.2),2 (4.3),38 (11.3),42 (23.9),1 (4.3),1 (1.7),46 (16.2)
,Adenovirus,7 (0.6),1 (0.6),2 (4.3),–,–,–,1 (1.7),3 (1.1)
,Rhinovirus,86 (7.8),12 (6.8),4 (8.7),27 (8.0),8 (4.5),1 (4.3),5 (8.6),29 (10.2)
,Respiratory syncytial virus A,26 (2.4),–,–,9 (2.7),2 (1.1),1 (4.3),2 (3.4),12 (4.2)
,Respiratory syncytial virus B,4 (0.4),–,1 (2.2),1 (0.3),2 (1.1),–,–,–
,Human metapneumovirus,61 (5.5),4 (2.3),1 (2.2),19 (5.6),11 (6.3),–,1 (1.7),25 (8.8)
,Coronavirus 229E/NL63,10 (0.9),–,–,3 (0.9),1 (0.6),1 (4.3),3 (5.2),2 (0.7)
,Coronavirus OC43,26 (2.4),6 (3.4),–,4 (1.2),3 (1.7),–,–,13 (4.6)
,Parainfluenza virus 1,7 (0.6),1 (0.6),–,1 (0.3),3 (1.7),–,–,2 (0.7)
,Parainfluenza virus 2,9 (0.8),1 (0.6),1 (2.2),3 (0.9),–,–,1 (1.7),3 (1.1)
,Parainfluenza virus 3,18 (1.6),2 (1.1),–,5 (1.5),2 (1.1),–,–,9 (3.2)
,Parainfluenza virus 4,–,–,–,–,–,–,–,–
5,,,,,,,,,
,Enterovirus,–,–,–,–,–,–,–,–
,Bocavirus,–,–,–,–,–,–,–,–
,doi:10.1371/journal.pone.0064295.t002,,,,,,,,
