0,1,2,3,4,5,6,7
Table 5 Top 10 authors publishing on probiotics in pediatrics,,,,,,,
Rank (R),Author,Number of published articles,Cluster,(number of co-authorships),Total citation (R),h-index (R),Country
1,"Isolauri, E.",68,2 (82),,8873 (1),35 (1),Finland
1,"Szajewska, H.",68,5 (67),,3164 (4),28 (3),Poland
3,"Salminen, S.",53,2 (73),,7325 (2),29 (2),Finland
4,"Vandenplas, Y.",38,1 (10),,681 (10),16 (6),Belgium
5,"Neu, J.",29,7 (13),,1476 (7),18 (4),USA
6,"Walker, W.A.",26,7 (7),,1626 (6),18 (4),USA
7,"Guarino, A.",24,5 (16),,1064 (8),14 (8),Italy
8,"Korpela, R.",22,4 (33),,1662 (5),13 (9),Finland
9,"Kalliomaki, M.",21,2 (38),,3837 (3),16 (6),Finland
10,"Kuitunen, M.",19,4 (31),,1064 (8),12 (10),Finland
R rank,,,,,,,
