0,1,2,3,4,5,6,7
,,,Table 2: Continued.,,,,
,Sequence,Allocation,,Incomplete,Selective outcome,Other source,Risk of
Author Name,,,Blinding,,,,
,generation,concealment,,outcome data,reporting,of bias,bias
Li et al. [73],Unclear,Unclear,N,N,N,Unclear,Unclear
Li [93],Unclear,Unclear,N,N,N,Unclear,Unclear
Liu [75],Unclear,Unclear,N,N,N,Unclear,Unclear
Liu and Sun [18],Unclear,Unclear,N,N,N,Unclear,Unclear
Liu and Chan [50],Unclear,Unclear,N,N,N,Unclear,Unclear
,Random,,,,,,
Liu et al. [20],,Unclear,N,Y,N,Unclear,Unclear
,number table,,,,,,
Liu [74],Unclear,Unclear,N,Y,N,Unclear,Unclear
Liu et al. [94],Unclear,Unclear,N,N,N,Unclear,Unclear
Lv [57],Unclear,Unclear,N,N,N,Unclear,Unclear
Luo et al. [76],Unclear,Unclear,N,N,N,Unclear,Unclear
,Random,,,,,,
Luo et al. [38],,Unclear,N,Y,N,Unclear,Unclear
,number table,,,,,,
Ma et al. [48],Unclear,Unclear,N,N,N,Unclear,Unclear
Ma and Huang [99],Unclear,Unclear,N,N,N,Unclear,Unclear
Ma [77],Unclear,Unclear,N,N,N,Unclear,Unclear
Pan et al. [89],Unclear,Unclear,N,N,N,Unclear,Unclear
Qiu [103],Unclear,Unclear,N,N,N,Unclear,Unclear
Ru [46],Unclear,Unclear,Single-blind,N,N,Unclear,Unclear
Shang [78],Unclear,Unclear,N,N,N,Unclear,Unclear
Song [106],Unclear,Unclear,N,N,N,Unclear,Unclear
,Random,,,,,,
Song et al. [10],,Unclear,N,N,N,Unclear,Unclear
,number table,,,,,,
Su [90],Unclear,Unclear,N,N,N,Unclear,Unclear
Tan et al. [58],Unclear,Unclear,N,N,N,Unclear,Unclear
Tian and Gong [16],Unclear,Unclear,N,N,N,Unclear,Unclear
Tian [80],Unclear,Unclear,N,N,N,Unclear,Unclear
Tu and Yang [63],Unclear,Unclear,N,N,N,Unclear,Unclear
Tu et al. [32],Unclear,Unclear,N,N,N,Unclear,Unclear
G. L. Wang and J.,,,,,,,
,Unclear,Unclear,N,N,N,Unclear,Unclear
Wang [104],,,,,,,
Wang [100],Unclear,Unclear,N,N,N,Unclear,Unclear
,Random,,,,,,
Wang [39],,Unclear,N,N,N,Unclear,Unclear
,number table,,,,,,
Wang [28],Unclear,Unclear,N,N,N,Unclear,Unclear
Wang and Ye [87],Unclear,Unclear,N,Y,N,Unclear,Unclear
Wang et al. [81],Unclear,Unclear,N,N,N,Unclear,Unclear
