0,1,2,3
,,Global Public Health,1031
"Table 2.
GOARN deployments by country, area or",territory.,,
"Country, area or
territory",,Total deployments,Person days
Afghanistan,,4,60
Algeria,,5,49
Angola,,140,2023
Argentina,,22,385
Armenia,,6,54
Azerbaijan,,17,344
Bangladesh,,24,458
Belize,,4,16
Bolivia (Plurinational State of),,5,33
Burkina Faso,,3,43
Cambodia,,3,70
Cape Verde,,8,140
Central African Republic,,10,469
Chad,,11,276
Chile,,11,172
China,,47,1123
Congo,,36,900
Cote d’Ivoire,,18,520
"Democratic Republic of
the Congo",,88,2072
Djibouti,,2,20
Dominican Republic,,8,38
Ecuador,,3,17
Egypt,,8,92
El Salvador,,8,45
Ethiopia,,5,178
Gabon,,39,1212
Georgia,,4,32
Ghana,,4,209
Guatemala,,8,46
Guinea,,11,289
Haiti,,35,930
Honduras,,3,15
India,,7,198
Indonesia,,41,854
Iran (Islamic Republic of),,6,72
Iraq,,19,310
Jamaica,,1,20
Jordan,,10,187
Kenya,,15,96
Kosovo,,8,233
Lebanon,,5,65
Madagascar,,18,317
Mali,,9,209
Mexico,,86,1567
New Caledonia,,4,48
Nicaragua,,12,73
Niger,,2,27
