0,1,2,3,4,5,6,7,8
Table 1: The distribution and quantity of GPVA at different time pointsB within the different segments of the tissue samples after the,,,,,,,,
,goslings were experimentally infected with GPV,,,,,,,
sample,4 hr,8 hr,12 hr,24 hr,2 days,3 days,6 days,9 days
Blood,4.93 ± 0.11,5.71 ± 0.10,6.35 ± 0.04,6.81 ± 0.21,7.76 ± 0.10,6.78 ± 0.09,6.51 ± 0.14,4.50 ± 0.23
Heart,5.07 ± 0.04,5.20 ± 0.07,6.18 ± 0.01,7.17 ± 0.07,8.32 ± 0.06,9.07 ± 0.33,8.18 ± 0.05,6.78 ± 0.11
Liver,6.87 ± 0.09,7.66 ± 0.08,8.63 ± 0.17,9.21 ± 0.07,10.39 ± 0.08,11.08 ± 0.10,9.96 ± 0.21,8.08 ± 0.23
Spleen,7.45 ± 0.06,8.71 ± 0.10,9.17 ± 0.07,10.20 ± 0.12,11.16 ± 0.14,11.99 ± 0.07,10.14 ± 0.23,8.97 ± 0.19
Lung,0,5.90 ± 0.19,6.11 ± 0.14,7.75 ± 0.11,7.94 ± 0.21,7.51 ± 0.14,6.00 ± 0.16,4.97 ± 0.02
Kidney,6.98 ± 0.08,7.86 ± 0.11,8.27 ± 0.07,9.15 ± 0.16,9.94 ± 0.14,10.87 ± 0.05,9.34 ± 0.19,7.56 ± 0.16
BFC,7.57 ± 0.09,8.25 ± 0.16,8.42 ± 0.14,9.07 ± 0.07,9.85 ± 0.14,10.95 ± 0.14,9.68 ± 0.18,8.84 ± 0.05
Thymus,7.12 ± 0.03,8.27 ± 0.19,8.94 ± 0.13,9.76 ± 0.18,10.39 ± 0.21,11.10 ± 0.07,9.97 ± 0.09,7.97 ± 0.12
Esophagus,0,6.35 ± 0.13,7.97 ± 0.19,8.31 ± 0.16,9.77 ± 0.15,8.48 ± 0.14,8.04 ± 0.14,7.85 ± 0.19
Trachea,0,6.24 ± 0.05,7.61 ± 0.19,8.03 ± 0.05,8.95 ± 0.19,8.11 ± 0.07,6.74 ± 0.18,6.21 ± 0.21
Brain,0,6.62 ± 0.07,7.88 ± 0.05,8.18 ± 0.23,8.97 ± 0.05,9.28 ± 0.21,8.84 ± 0.18,8.27 ± 0.09
HGD,7.07 ± 0.16,8.41 ± 0.13,8.96 ± 0.16,9.58 ± 0.16,10.69 ± 0.05,11.20 ± 0.21,10.20 ± 0.18,10.11 ± 0.16
Duodenum,0,7.35 ± 0.18,8.27 ± 0.14,8.37 ± 0.18,8.85 ± 0.09,9.56 ± 0.21,8.72 ± 0.23,7.90 ± 0.23
Jejunum,0,7.29 ± 0.12,7.56 ± 0.21,7.74 ± 0.21,7.83 ± 0.07,8.88 ± 0.15,8.16 ± 0.14,7.64 ± 0.21
Ileum,0,7.76 ± 0.18,7.90 ± 0.18,8.18 ± 0.23,8.78 ± 0.14,9.45 ± 0.21,8.61 ± 0.23,7.87 ± 0.15
Cecum,0,6.41 ± 0.12,6.86 ± 0.14,7.10 ± 0.21,7.43 ± 0.05,8.04 ± 0.12,7.10 ± 0.21,6.87 ± 0.09
Rectum,0,6.17 ± 0.16,6.33 ± 0.12,6.71 ± 0.19,7.28 ± 0.12,7.95 ± 0.19,7.45 ± 0.16,6.67 ± 0.21
A GPV = Goose parvovirus,,,,,,,,
,B Units: log10 copies/ml for blood and log10 copies/g for others,,,,,,,
C BF = Bursa of Fabricius,,,,,,,,
D HG = Harder's glands,,,,,,,,
