0,1,2,3
,"an outbreak of cryptosporidiosis in 2013. BVT1, 2, 3: ﬁrst, second, and third year Bachelor of Veterinary",,
"Technology, respectively; BVsc5: ﬁfth year Bachelor of Veterinary Science.",,,
,Students Who Met the,Questionnaires Available,Students within
Variables,,,
,Case Deﬁnition (%),for Analysis (%),the Cohort (%)
Gender,,,
Male,1 (5),4 (5),27 (14)
Female,18 (95),70 (95),160 (86)
Ethnicity,,,
European,14 (74),56 (76),137 (73)
Asian,5 (26),14 (19),36 (19)
Other,0,4 (5),14 (8)
Age,,,
17–21,4 (21),17 (23),23 (13)
22–24,7 (37),31 (42),83 (44)
25+,6 (32),24 (32),81 (43)
Unknown,2 (10),2 (3),0
Class,,,
BVT1,1 (5),12 (16),31 (17)
BVT2,7 (38),11 (15),26 (14)
BVT3,2 (11),14 (19),30 (16)
BVSc5,9 (46),37 (50),100 (53)
Total,19 (100),74 (100),187 (100)
