0,1,2,3,4,5
Polymorphism,Not hospitalized,,Hospitalized,,P
,,Survived,,Died,
rs1048479,,,,,
CC,42 (26.8),24 (19.5),,14 (18.4),
CT,73 (46.5),54 (43.9),,34 (44.7),0.282
TT,42 (26.8),45 (36.6),,28 (36.8),
C,157 (50.0),102 (69.8),,62 (40.8),0.065
T,157 (50.0),144 (30.1),,90 (59.2),
rs113350588,,,,,
AA,47 (29.9),35 (28.5),,21 (27.6),
AG,65 (41.1),64 (52.0),,34 (44.7),0.357
GG,45 (28.7),24 (19.5),,21 (27.6),
A,159 (50.6),134 (54.5),,76 (50.0),0.588
G,155 (49.4),112 (45.5),,76 (50.0),
doi:10.1371/journal.pone.0139681.t003,,,,,
