0,1,2,3,4,5,6,7,8
,Table 3 Comparison of clinical and laboratory findings according to respiratory pathogens in children hospitalized due to,,,,,,,
community-acquired pneumonia,,,,,,,,
Variables,only MP1,MP coinfected,Adenovirus3,Influenza,Metapneumovirus5,RSV6,P value,Post hoc
,(n = 7455),with virus2,(n = 680),virus4,(n = 1287),(n = 4521),,testa
,,(n = 1728),,(n = 1491),,,,
"Age (month), mean ± SD",66.7 ± 39.7,53.3 ± 37.3,34.1 ± 28.0,54.4 ± 46.0,28.1 ± 28.2,15.9 ± 21.0,< 0.0001,1 > 4 = 2 > 3 > 5 > 6
"Sex (male), No.
(%)",3680 (49.4),862 (49.9),389 (57.2),828 (55.5),692 (53.8),2551 (56.4),< 0.0001,2 > 3 = 6 = 4 = 5 > 1
Duration of Hospitalization,159.9 ±,174.2 ± 339.8,181.4 ±,136.3 ±,148.6 ± 166.0,162.2 ±,< 0.0001,3 = 2 = 6 = 1 ≥ 5 ≥ 4
"(hrs), mean ± SD",227.4,,250.4,161.2,,238.6,,
"Administration of steroid,",1645 (22.1),454 (26.3),75 (11.0),117 (7.9),170 (13.2),622 (13.8),< 0.0001,2 > 1 > 6 = 5 = 3 > 4
"No.
(%)",,,,,,,,
"Oxygen supplementation,",299 (4.0),109 (6.3),67 (9.9),82 (5.5),147 (11.4),905 (20.0),< 0.0001,6 > 5 > 3 > 2 = 4 = 1
"No.
(%)",,,,,,,,
"Ventilator care, No.
(%)",12 (0.2),4 (0.2),8 (1.2),14 (0.9),12 (0.9),51 (1.1),< 0.0001,3 = 6 > 4 = 5 = 2 = 1
"ICU care, No.
(%)",27 (0.4),11 (0.6),13 (1.9),23 (1.5),17 (1.3),119 (2.6),< 0.0001,6 ≥ 3 = 4 = 5 = 2 > 1
"WBC (× 103/μL), median",8275 ±,8870 ± 5560,"11,810 ±",7510 ±,8700 ± 5142.5,9660 ±,< 0.0001,3 > 2 > 4 > 6 > 1 = 5
± IQR,4700,,7155,4760,,4857.5,,
"Neutrophil
(%), median",60.1 ± 21.8,57.6 ± 26.2,56.2 ± 25.8,57.5 ± 32.2,42.3 ± 29.6,35 ± 28.4,< 0.0001,1 > 2 = 3 = 4 > 5 > 6
± IQR,,,,,,,,
"Lymphocyte (%), median",28.5 ± 18.8,31 ± 22.8,33 ± 25,29.7 ± 28,46 ± 27.2,51.8 ± 26.5,< 0.0001,6 > 5 > 2 = 3 = 4 > 1
± IQR,,,,,,,,
"Eosinophil
(%), median",1.6 ± 3.3,1.1 ± 2.5,0.4 ± 1.4,0.4 ± 1,0.5 ± 1.2,1 ± 2,< 0.0001,1 > 2 > 6 > 3 = 4 = 5
± IQR,,,,,,,,
"Hb, median ± IQR",12.4 ± 1.2,12.3 ± 1.2,11.8 ± 1.2,12.3 ± 1.5,12 ± 1.3,11.9 ± 1.7,< 0.0001,1 ≥ 2 = 4 > 5 ≥ 6 ≥ 3
"Platelet (×103/μL), median",293.0 ±,284.0 ± 126.0,297.0 ±,232.0 ±,260.0 ± 132.0,328.0 ±,< 0.0001,6 > 1 ≥ 3 ≥ 2 > 5 > 4
± IQR,140.0,,144.8,102.0,,166.0,,
"AST, U/L, median ± IQR",29.0 ± 9.0,30.0 ± 9.0,31.0 ± 8.0,31.0 ± 9.0,34.0 ± 8.0,33.0 ± 8.0,< 0.0001,5 ≥ 6 > 3 = 4 = 2 > 1
"ALT, U/L, median ± IQR",14.0 ± 7.0,14.0 ± 7.0,14.0 ± 8.0,15.0 ± 9.0,16.0 ± 9.0,18.0 ± 10.0,< 0.0001,6 > 5 = 4 > 3 = 2 = 1
"LDH, U/L, median ± IQR",479.0 ±,475.0 ± 348.5,516.5 ±,467.0 ±,549.0 ± 311.0,540 ± 300,< 0.0001,6 > 5 = 3 = 2 = 1 > 4
,294.5,,326.8,292.5,,,,
"CRP, mg/dL, median ± IQR",2.2 ± 4.8,1.6 ± 3.8,2.7 ± 4.9,1.0 ± 2.6,1.1 ± 2.8,0.6 ± 1.8,< 0.0001,1 ≥ 3 ≥ 2 > 5 = 4 > 6
"ESR, mm/hr., median ± IQR",31.0 ± 30.0,30.0 ± 30.0,34.0 ± 35.0,14.0 ± 19.2,20 ± 23,15.0 ± 22.0,< 0.0001,3 > 1 = 2 > 5 > 6 > 4
,"ALT alanine aminotransferase, AST aspartate aminotransferase, CRP C-reactive protein, ESR erythrocyte sedimentation rate, Hb hemoglobin,",,,,,,,"ICU intensive care unit,"
