0,1,2,3,4,5
,,,,QRT-PCR Assay for Measurement of Arenavirus Replicative RNA Species,
,Table 5. Ratio of viral RNA species found in virions and infected cells.,,,,
Source of RNA,Time pi,,,Ratio of viral RNA speciesa,
,,S vRNA to L vRNA,S vRNA to S vcRNA,L vRNA to L vcRNA,S vcRNA to L vcRNA
MC57 cells,12 hr,4.9 ± 1.1,2.3 ± 0.4,2.0 ± 0.1,4.1 ± 0.2
,18 hr,5.7 ± 0.8,3.7 ± 0.5,1.5 ± 0.1,2.3 ± 0.2
,7 d,3.7 ± 0.4,1.6 ± 0.1,1.1 ± 0.2,2.6 ± 0.3
,24 d,3.6 ± 0.7,1.4 ± 0.1,0.8 ± 0.1,2.1 ± 0.1
Sucrose-banded virionsfrom Vero E6 cells,48 hr,1.5 ± 0.1,7.0 ± 0.3,3.3 ± 0.4,0.7 ± 0.1
"aThe ratio of
the two viral RNA species indicated at",,the top of each column was calculated by dividing the value of,,,the ﬁrst RNA species listed by the
value of,the second. Ratios are reported as mean ± standard deviation.,,,,
doi:10.1371/journal.pone.0120043.t005,,,,,
