0,1,2,3,4
Table 4: Reported willingness of survey participants to accept a pandemic (H1N1) 2009 influenza vaccine,,,,
Variable,,,Stated acceptance of pandemic (H1N1) 2009 vaccine,
,Yes,No/will wait N = 269,Univariate analysis,Multivariate analysis
,(N = 343),% (n),COR (CI95) [p value],AOR (CI95) [p value]
,% (n),,,
Gender,,,,
Men,40.8% (140),39.1% (111),1,-
Women,58.3% (200),52.8% (150),0.9 (0.7-1.3) [0.7],
Not specified,0.9% (3),2.8% (8),-,
Age group,,,,
18-34,53.6% (184),43.7% (124),1.4 (0.9-2.1) [0.2],-
35-54,29.2% (100),29.6% (84),1.1 (0.7-1.7) [0.7],
55+,16.3% (56),18.0% (51),1 [0.3],
Not specified,0.9% (3),3.5% (10),-,
Ethnicity (Other),35.6% (122),23.6% (67),1.7 (1.1-2.4) [0.01],1.6 (1.0-2.4) [0.03] *
Received seasonal,37.6% (129),16.9% (48),2.7 (1.8-4.2) [<0.001],2.7 (1.7-3.6) [<0.001]*
influenza vaccine in,,,,
08/09,,,,
Personal risk†,21.3% (73),12.0% (34),1.9 (1.2-3.0) [0.005],-
Undertake ≥ 1,60.6% (208),41.2% (117),2.0 (1.4-2.8) [<0.001],1.8 (1.2-2.5) [0.003]*
behavioural change,,,,
due to H1N1 situation,,,,
Perceives H1N1,55.7% (191),27.5% (78),3.1 (2.2-4.4) [<0.001],2.5 (1.7-3.6) [<0.001]*
situation as serious,,,,
