0,1,2,3,4,5,6
International Journal of Inﬂammation,,,,,,3
,,Table 1: Patient demographics and clinical characteristics.,,,,
,Stable angina,Unstable angina,NSTEMI,STEMI,Control group,
Nr,,,,,,
,40,35,40,25,20,
Sex (male/female),(31/9),(27/8),(33/7),(20/5),(16/4),
Age mean (SD),63.8 (9.85),64.6 (8.17),64.5 (9.96),64.2 (11.19),41.5 (7.96),
BMI mean (SD),29.76 (4.89),28.26 (4.81),28.65 (3.56),26.26 (2.12),23.58 (1.80),
Diabetes N (%),16 (40.00),14 (40.00),17 (42.50),12 (48.00),0,
Hypertension N (%),27 (65.71),25 (71.43),20 (70.00),19 (76.00),0,
Dyslipidemia N (%),27 (67.50),19 (57.15),25 (62.50),17 (68.00),0,
Smoking,12 active 6 quit,17 active 1quit,18 active,14 active 4 quit,0,
