0,1,2,3,4,5,6,7
Variable,,Death,,Alive,,Total,P
Age (Mean (SD))b,,61.08,(17.05),46.94,(17.00),—,<0.001
,Female,147,(25.43),431,(74.57),578,
Sexb,,,,,,,<0.001
,Male,410,(35.71),738,(64.29),1148,
,No,31,(11.11),248,(88.89),279,
Comorbidity,Yes,456,(48.31),488,(51.69),944,<0.001
,NR,72,(13.85),448,(86.15),520,
,Camel,58,(34.94),108,(65.06),166,
Contact pattern,Other animal,10,(40.00),15,(60.00),25,0.476
,Human,491,(31.64),1061,(68.36),1552,
,KSA,483,(34.67),910,(65.33),1393,
,UAE,12,(15.00),68,(85.00),80,
Country,,,,,,,<0.001
,South Korea,37,(19.89),149,(80.11),186,
,Othersc,27,(32.14),57,(67.86),84,
,Initial,92,(40.35),136,(59.65),228,
Epidemic periodd,,,,,,,
,Later,467,(30.83),1048,(69.17),1515,0.004
Total,,559,(32.07),1184,(67.93),1743,
