0,1,2,3,4
Table 1 FB-associated human rabies cases inferred from exposure history,,,,
Provinces,Counties,Human cases,Period,Total human rabies cases in a province or at a region
Zhejiang,Changxing,6,1994-1995,N/A
Zhejiang,"Lin’an, Chun’an, Tonglu, Jiande,",29,1996-2004,42
,"Quzhou, Huzhou, Changxing",,,
Zhejiang,Hangzhou,2,2006-2007,N/A
Zhejiang,Lishui,1,2008,N/A
Jiangxi,Wuyuan,4,2007-2008,5
Anhui,Xuancheng,2,2004-2005,N/A
Anhui,Shexian,2,2003-2004,N/A
Anhui,Huangshan,2,2002,N/A
Anhui,Jingxian,1,2003,N/A
N/A: Not available,,,,
