0,1,2,3
,,,"Influenza-Like Illness in Maracay, Venezuela"
,"Table 1. Study population recruited by passive surveillance in two hospitals of Maracay, Venezuela: October 2006– December",,
2010.,,,
,HCM*,IVSS{,Total
Characteristics of the population,,,
,"No.
(%)","No.
(%)","No.
(%)"
Number of subjects enrolled,637,279,916
Gender,,,
Female,344 (54.0),162 (58.1),506 (55.2)
Male,293 (46.0),117 (41.9),410 (44.8)
Age,,,
"Mean, 6STD (yrs)",21.2613.2,14.4615.6,19.2. 614.3
"Median,
(range in yrs)",20 (1 mo–86),7 (1 mo–65),17 (1 mo –86)
0–4,43 (6.8),118 (42.3),161 (17.6)
5–14,196 (30.8),53 (19.0),249 (27.2)
15–29,241 (37.8),59 (21.1),300 (32.8)
30–44,126 (19.8),30 (10.8),156 (17.0)
45–59,25 (3.9),18 (6.5),43 (4.7)
$60,6 (0.9),1 (0.4),7 (0.8)
Influenza vaccination (self-reported),31 (4.9),17 (6.1),48 (5.2)
Medical attention before enrollment,175 (27.5),29 (10.4),204 (22.3)
Previous treatment,,,
Treatment,14 (2.2),21 (7.5),35 (3.8)
Including antibiotics,9 (1.4),9 (3.2),18 (2.0)
No treatment,468 (73.5),168 (60.2),636 (69.4)
No information,155 (24.3),90 (32.3),245 (26.7)
*Hospital Central de Maracay.,,,
{Hospital del,Instituto Venezolano de los Seguros Sociales-Jose´ Marı´a Caraban˜ o Tosta.,,
doi:10.1371/journal.pone.0044511.t001,,,
