0,1,2,3,4,5,6,7,8,9
Table 1: Defense and immunity proteins,,,,,,,,,
,,Normalized Volumes Mean (SD),,WTFA vs WTO3,,Normalized Volumes Mean (SD),KOFA vs KOO3,WTFA vs KOFA,WTO3 vs KOO3
,,,,p ≤ 0.05,,,p ≤ 0.05,p ≤ 0.05,p ≤ 0.05
,,WTFA,WTO3,,KOFA,KOO3,,,
Adipsin,↑,2.05,2.43,,2.13,2.34,,,
(complement factor D),,(0.337),(0.610),,(0.742),(0.655),,,
Alpha-1-antitrypsin 1-1,↓,1.18,1.04,,1.35,0.94,,,
,,(0.191),(0.102),,(0.369),(0.210),,,
Alpha 1-antitrypsin 1-6,↑,2.15,2.94,*,2.85,3.47,,*,
,,(.230),(0.353),,(0.484),(0.712),,,
Annexin A1,↓,3.05,2.57,.058,2.73,2.38,,,
,,(0.168),(0.381),,(0.409),(0.517),,,
Annexin A5,↑,1.10,1.30,,0.58,1.04,*,*,
,,(0.155),(0.251),,(0.078),(0.171),,,
Antithrombin-III,↑,3.08,4.54,*,3.53,4.78,*,,
,,(0.589),(0.659),,(0.342),(0.454),,,
Apolipoprotein A-I,↑,1.59,2.18,*,2.24,4.41,*,,*
,,(0.300),(0.350),,(0.668),(1.038),,,
"Chain A, Mammalian",↓,3.78,2.76,,3.03,1.97,.058,,
Lectin Ym1,,(1.000),(0.290),,(0.053),(0.903),,,
Chia protein,↓,1.20,0.88,.075,1.49,0.82,*,,
,,(0.244),(0.172),,(0.367),(0.354),,,
Chitinase-3-like protein 1 precursor,↓,11.19,7.35,*,9.26,4.46,*,,
(GP-39),,(1.860),(1.959),,(2.089),(1.843),,,
Complement,↑,0.65,1.04,*,0.74,1.24,*,,
component C3,,(0.142),(0.212),,(0.248),(0.261),,,
Complement,↓,7.26,6.88,,7.32,6.08,.053,,
component C5,,(0.617),(0.999),,(0.692),(0.766),,,
Esterase 1,↑,2.73,3.85,*,3.31,4.44,*,*,
,,(0.187),(0.960),,(0.220),(0.687),,,
Ferritin (light chain),↓,1.43,1.21,,1.34,1.13,,,
,,(0.325),(0.180),,(0.382),(0.380),,,
Gluthathione S-transferase A4,↓,1.41,0.80,*,1.32,0.65,*,,
(GST A4-4),,(0.153),(0.445),,(0.148),(0.146),,,
Glutathione S-transferase omega 1,↓,3.52,2.78,*,2.94,2.77,,*,*
,,(0.140),(0.416),,(0.422),(0.986),,,
Haptoglobin,↓,12.71,11.21,,11.47,7.61,*,,
,,(2.040),(0.835),,(0.326),(0.764),,,
"Heat shock protein 1, alpha",↑,0.75,0.95,*,0.70,0.95,*,,
,,(0.092),(0.114),,(0.164),(0.076),,,
Heat shock protein 70,↑,3.93,5.82,*,4.64,7.79,*,,
,,(0.807),(1.173),,(0.556),(1.026),,,
