0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,Table 2. Host proteins frequently detected associated with the virions.,,,,,,,,,,
,,,,,,,,,,,Van,,,
,Davison et,Bortz,Johannsen,Varnum,Kattenhorn,Zhu et,Bechtel,"Michael
Loret",Dry et,Michel,Kramer,Lété et,Vidick,
,,,,,,,,,,,Beurden,,,
,Davison,et al.,et al.,et al.,et al.,al.,"et al.
et al.",et al.,al.,"et al.
et al.",,al.,et al.,
,,,,,,,,,,,et al.,,,
Year of publication,1995,2003,2004,2004,2004,2005,"2005
2006",2008,2008,"2010
2011",2011,2012,2013,
Virus,CCV,MHV68,EBV,HCMV,MCMV,KSHV,"KSHV
PRV",HSV-1,AlHV1,"CyHV3
PRV",AngHV,BoHV4,MuHV4,
Proteolysis,(-),(-),(-),(-),(-),(-),"(+)
(-)",(-),(-),(-),"(+)
(-)",(+),(+),
Number of identiﬁed,,,,,,,,,,,,,,Total
,1,5,6,71,7,21,"9
4",49,6,"18
48",28,15,31,
host proteins,,,,,,,,,,,,,,occurrence
Actin (a),+,+,+,+,+,+,+,"+
+",+,+,+,+,,13
"Annexin A2, A1, A3 (a)",,+,,+,+,+,+,+,+,"+
+",,+,+,11
Coﬁlin,,,,+,+,,,+,,"+
+",,+,+,7
Elongation factors (a),,,,+,+,+,+,,,+,,+,,6
Heat shock protein 70,,,,+,,+,+,"+
+",,,+,,,6
14-3-3 (a),,,,+,,+,,,,"+
+",,+,,5
Glyceraldehyde-3-phosphate,,,,,,,,,,,,,,
,,,,+,+,,,+,,,+,,+,5
dehydrogenase,,,,,,,,,,,,,,
Heat shock protein 90,,,+,+,,+,+,,,,+,,,5
Rab (a),,,,,,+,,+,,+,+,,+,5
ADP ribosylation,,,,,,,,,,,,,,
,,,,+,,,,+,,+,+,,+,5
factors (a),,,,,,,,,,,,,,
Caseine kinase,,,,+,,,,+,,"+
+",,,+,5
Histones (a),,,,,+,,,,+,,,,+,3
Pyruvate kinase,,,,,,+,+,,+,,,,,3
Proﬁlin,,,,,,,,+,,,+,+,,3
Tubulin (a),,,,+,,,+,,,+,,,,3
Rab GDP dissociation,,,,,,,,,,,,,,
,,,,+,+,,,,,,,,+,3
inhibitor beta-like,,,,,,,,,,,,,,
S/T-protein Pase,,,,,,,,,,,,,,
,,,,+,,,,,,+,,,+,3
PP1-alpha,,,,,,,,,,,,,,
Moesin,,,,+,,,+,,,,,,+,3
cyclophilin A1,,,,+,,+,,+,,,,,,3
Enolase,,,,+,,+,+,,,,,,,3
