0,1,2,3,4,5,6,7,8,9
NZ,,,(No.),,deaths,from,illness,(No.),worked (%)c
,,,,,(No.)b,hospitalisati,(No.)a,,
,,,,,,ons (No.),,,
,1,0.0,0,5 – 11,0,1 – 2,10 – 23,11 – 25,01 – 0.2%
,2,0.1,1,26 – 61,1,5 – 11,56 – 130,62 – 142,0.4 – 0.9%
,3,0.2,1 – 3,59 – 137,2,12 – 25,126 – 294,139 – 321,0.9 – 2.1%
,4,0.3,2 – 4,77 – 180,3,15 – 33,165 – 386,184 – 422,1.2 – 2.7%
,5,0.2,1 – 2,43 – 101,4,9 – 19,93 – 217,106 – 240,0.7 – 1.6%
,6,0.1,1 – 1,20 – 47,5,4 – 9,44 – 101,52 – 115,0.3 – 0.7%
,7,0.0,0,5 – 12,5,1 – 2,11 – 26,17 – 33,0.1 – 0.2%
,8,0.0,0,3 – 7,5,1,7 – 16,12 – 22,0.1%
Totald,,1,6 – 13,239 – 556,25,47 – 102,512 – 1192,584 – 1320,0.5 – 1.1%
