0,1,2,3,4,5,6
Characteristic,"infection, I","infection, II","coinfection, III",,,
,,,,I vs. II,I vs. III,II vs. III
,(n = 122),(n = 35),(n = 9),,,
Baseline,,,,,,
Sex (male),80 (65.6),20 (57.1),7 (77.8),0.36,0.72,0.44
Age ≥ 65 yr,74 (60.7),22 (62.9),6 (66.7),0.81,0.99,0.99
Flu season,91 (74.6),35 (100),8 (88.9),0.001,0.45,0.20
Hospital acquisition,20 (16.4),4 (11.4),2 (22.2),0.47,0.65,0.59
Underlying disease,,,,,,
Solid tumor,12 (9.8),0,1 (11.1),0.07,0.99,0.20
Hematologic malignancy,9 (7.4),0,2 (22.2),0.21,0.17,0.04
Chronic lung diseases,12 (9.8),4 (11.4),1 (11.1),0.76,0.99,0.99
Chronic renal failure,3 (2.5),3(8.6),1 (11.1),0.12,0.25,0.99
Symptom,,,,,,
Cough,64/121 (52.9),20 (57.1),5 (55.6),0.66,0.99,0.99
Sputum production,62/121 (51.2),15 (42.9),2 (22.2),0.38,0.16,0.57
Rhinorrhea,2/121 (1.7),4 (11.4),0,0.02,0.99,0.44
Sore throat,4/121 (3.3),3 (8.6),0,0.19,0.99,0.99
Dyspnea,39/121 (32.2),12 (34.3),3 (33.3),0.82,0.99,0.99
Fever,55/121 (45.5),18 (51.4),4 (44.4),0.53,0.99,0.99
RVs,,,,,,
IFA,0,19 (54.3),5 (55.6),,,0.99
AdV,0,3 (8.6),0,,,0.99
RSV,0,2 (5.7),4 (44.4),,,0.01
PIV,0,1 (2.9),0,,,0.99
HRV,0,6 (17.1),1 (11.1),,,0.99
HMPV,0,3 (8.6),1 (11.1),,,0.99
HEV,0,3 (8.6),0,,,0.99
HCoV,0,2 (5.7),0,,,0.99
In-hospital mortality,20 (16.4),4 (11.4),8 (88.9),0.47,< 0.001,< 0.001
