0,1,2,3,4,5,6
Table 3,,,,,,
,Avian influenza A outbreaks reported in humans,,,,,
,,,,,,Worldwide
,,,,,,"(Southeast Asia,"
,United Kingdom,Hong Kong,Hong Kong,The Netherlands,Canada,"Africa, Middle East)"
,1995,1997,1999,2003,2004,2003 to present
,[51],[54],[52],[53],[58],"[57,65,66,68]"
Influenza A subtype,H7N7,H5N1,H9N2,H7N7,H7N3,H5N1
Source of infection,Poultry,Poultry and,Poultry,Poultry,Poultry,Poultry and
,,waterfowl,,,,waterfowl
Clinical presentation,Conjunctivitis,Conjunctivitis,ILI,"Conjunctivitis,","Conjunctivitis,","Conjunctivitis, ILI,"
,,and ILI,,"pneumonia, ILI",ILI,"pneumonia,"
,,,,,,multi-organ failure
Number of human cases,1,18,2,89,2,256
Number of fatalities (percent),0 (0),6 (33),0 (0),1 (1),0 (0),151 (59)
