0,1,2,3,4,5,6,7,8,9,10,11
,Table 3 Percent frequency of chemokine receptor and activation marker positive leukocytes in SARS-CoV infected aged,,,,,,,,,,
,and juvenile monkeys,,,,,,,,,,
,,,,,,,Frequency of cellsa,,,,
Peripheral blood,,,Day 1,,,Day 5,,,Day 10,,
,,Juvenile,,Aged,Juvenile,,Aged,Juvenile,,Aged,Statistics
Monocytes,,,,,,,,,,,
,CCR1,5.0 ± 0.9,,1.8 ± 0.4,1.0 ± 0.1,,2.2 ± 1.7,2.5 ± 0.3,,2.4 ± 0.6,d.p.i*
,CCR3,1.6 ± 0.4,,1.9 ± 04,1.1 ± 01,,2.2 ± 12,1.1 ± 01,,2.4 ± 0.6,age*
,CD86,8.9 ± 13,,3.8 ± 0.4,6.3 ± 2.0,,3.9 ± 1.9,4.7 ± 0.3,,5.2 ± 1.6,age*
DCs,,,,,,,,,,,
,CCR6,0.6 ± 0.3,,0.3 ± 0.2,0.6 ± 0.2,,0.0 ± 0.0,0.3 ± 01,,0.2 ± 0.0,"age**, d.p.i*"
,CD86,1.4 ± 0.5,,0.2 ± 0.0,2.9 ± 0.9,,0.3 ± 0.0,0.2 ± 0.0,,0.2 ± 0.0,age****
CD8 + T cells,,,,,,,,,,,
CCR5,,6.9 ± 1.2,,2.5 ± 0.4,1.8 ± 0.3,,2.0 ± 0.5,3.7 ± 0.3,,9.9 ± 3.4,d.p.i**
Lung,,,Mock,,,Day 5,,,Day 10,,
,,Juvenile,,Aged,Juvenile,,Aged,Juvenile,,Aged,Statistics
Macrophages,,,,,,,,,,,
,CD86,20.5 ± 1.7,,2.3 ± 0.1,36.4 ± 4.8,,3.1 ± 1.1,34.2 ± 2.1,,3.3 ± 1.7,age****
DCs,,,,,,,,,,,
,CD86,1.1 ± 0.3,,0.3 ± 0.1,3.7 ± 0.5,,0.4 ± 0.1,2.0 ± 0.5,,0.3 ± 0.1,age****
,"aAverage frequency of chemokine receptor or activation marker positive cells of total perhipheral blood or lung leukocytes. Monocytes (CD14 + HLADR+),",,,,,,,,,,
