0,1,2,3,4,5
,,Table 1. Cont.,,,
Involvement in,,,,"Length,",VBRC
,Genus,Virusa,Gene/Protein,,
Ubiquitination,,,,aa,accessionb
,Leporipoxvirus,MYXV-Lau,148R,675,VP0038576
,,,149R,490,VP0038577
,,,150R,494,VP0038578
,,,005R (MT-5),483,VP0038588
,Orthopoxvirus,CMLV-CMS,3L,585,VP0041099
,,,4L,672,VP0041101
,,,177L,564,VP0041325
,,,197R,783,VP0041349
,,CPXV-GRI,D3L,586,VP0042660
,,,D4L,672,VP0042661
,,,D8L (CP77),661,VP0042665
,,,C1L,437,VP0042672
,,,C11L,614,VP0042682
,,,B3R,558,VP0042843
,,,B16R,574,VP0042856
,,,B18R,795,VP0042858
,,,K1R,581,VP0042863
,,,I2R,672,VP0042868
,,,I3R,586,VP0042869
,,ECTV-Mos,2,587,VP0040921
,,,5,650,VP0040924
,,,154,564,VP0041078
,,,165,594,VP0041089
,,MPXV-ZAR,B5R,561,VP0040530
,,,J1R,587,VP0040553
,,,N4R,437,VP0040552
,,,B17R,793,VP0040542
,,TATV-DAH68,220,640,VP0053138
,,,187,558,VP0053105
,,,18,661,VP0052936
,,,6,627,VP0052924
,,VACV-Cop,B18R,574,VP0039778
,,,C19L,259,VP0039532
,,,B4R,558,VP0039761
,,RPXV-Utr,180,791,VP0041544
,,,178,574,VP0041542
,,,166,558,VP0041530
,,VARV-,B5R,558,VP0038933
,,BDG75maj,,,
,,,G1R,585,VP0039159
,,,B16R,574,VP0038944
,,,B18R,787,VP0038946
