0,1,2,3,4,5,6,7,8,9
4,Punica granatum,,,Pomegranate,,3.5,,13,
Table 5  Antibiotic effects of individual ingredients in Phenol-rich compound against P. aeruginosa in this study,,,,,,,,,
,,,,Zone of inhibition(mm)  Mean ± SD,,,,,
,,,,,Acacia,,,,
Number of,,,Punica,Phoenix,,,Ephedra,Aza-,
,,,,,catechu,Castanea,,,
repeated Test,Honey,Acer,grana-,dactylif-,,,sinica,dirachta,Shilajit
,,,,,(L.F.),sativa,,,
,,,tum,era L.,,,stapf,indica,
,,,,,Willd,,,,
1,13,18,25,19,19,18,19,16,12
2,12,17,25,19,18,19,19,18,12
3,13,18,24,18,19,19,19,17,11
Mean ± SD,13.1213,17.666,24.6666,18.6666,18.6666,18.6666,19,17,11.6666
