0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Table 2: LACV is immunogenic in rhesus monkeys and can be detected in the lymph nodes.,,,,,,,,,,,,,,,
,,,,,Homologous neutralizing antibody titer on indicated day (reciprocal PRNT60)c,,,,,,,,,,
Virus and,Monkey #,Temp.,Lymph,-7,0,2,4,6,8,10,12,14,21,28,GMTd
inoculation,,(°F)a,node virus,,,,,,,,,,,,(Day 28)
route,,,titersb,,,,,,,,,,,,
Human/,DB00,,2.3 (day,<5,<5,<5,<5,<5,13,22,166,620,1465,2924,2186
1978/clone,,,12),,,,,,,,,,,,
(SQ),,,,,,,,,,,,,,,
,DB1Z,,,<5,<5,<5,<5,<5,24,137,126,332,679,1412,
,CL74,,,<5,<5,<5,<5,<5,<5,31,199,546,1370,1374,
,DBCV,,,<5,<5,<5,<5,<5,6,43,246,234,1684,4022,
Human/,DB9J,,,<5,<5,<5,<5,<5,<5,66,343,1011,603,1776,1906
1978/clone,,,,,,,,,,,,,,,
(IM),,,,,,,,,,,,,,,
,DB5C,,1.4 (day,<5,<5,<5,<5,<5,<5,74,282,2382,7451,2714,
,,,12),,,,,,,,,,,,
,DB7Y,103.2 (day,,<5,<5,<5,<5,<5,<5,15,37,230,4041,1628,
,,8),,,,,,,,,,,,,
,DB3W,102.8 (day,,<5,<5,<5,<5,<5,<5,40,1643,460,2633,1688,
,,6),,,,,,,,,,,,,
Mosquito/,DB70,,,<5,<5,<5,<5,37,25,90,623,672,2325,3008,560
1978/clone,,,,,,,,,,,,,,,
(SQ),,,,,,,,,,,,,,,
,DB8N,,0.7 (day,<5,<5,<5,<5,12,29,72,194,161,211,663,
,,,12),,,,,,,,,,,,
,CK74,,,<5,<5,<5,<5,<5,14,38,250,434,1023,399,
,CL2G,,,<5,<5,<5,<5,7,7,8,19,14,120,124,
Mosquito/,DBCZ,,,<5,<5,<5,<5,12,38,834,1325,3050,3695,4493,1691
1978/clone,,,,,,,,,,,,,,,
(IM),,,,,,,,,,,,,,,
,CL6E,103.1 (day,0.7 (day 6),5,6,6,<5,16,39,180,1960,2809,3875,960,
,,6),,,,,,,,,,,,,
,DB0H,,,13,13,18,13,15,28,130,516,1566,1134,687,
,DA9F,102.9 (day,0.7 (day 8),<5,<5,<5,<5,<5,11,94,1833,3189,3656,2762,
,,-7),,,,,,,,,,,,,
