0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Table 3: Mean values and mean cost of components of resource use during ARIs,,,,,,,,,,,,,,,,
,Number,Primary care visits,,All other,,Seeking healthcare time,,,Seeking healthcare time,,,Excess care time off,,,Excess care time away,
,of ARIs,,,healthcare,,off workb,,,away from usual activityb,,,workb,,,from usual activityb,
,,,,costsa,,,,,,,,,,,,
,,Mean,Mean,Mean cost,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean,Mean
,,number,cost,,male,female,cost,male,female,cost,male,female,cost,male,female,cost
,,,,,time,time,,time,time,,time,time,,time,time,
Influenza A virus,17,1.11,$32.85,$12.84,0.00,0.12,$2.65,0.12,0.94,$24.37,1.76,3.38,$125.16,4.29,26.09,$706.00
Other single virus,289,0.57,$16.73,$7.19,0.02,0.55,$12.83,0.04,0.66,$15.64,0.47,1.60,$48.55,1.09,6.01,$163.61
Co-identifications,51,0.76,$22.46,$3.79,0.00,0.38,$8.43,0.03,0.50,$11.90,1.49,2.49,$96.41,1.46,7.18,$200.20
No virus identified,126,0.63,$18.65,$7.07,0.02,0.22,$5.58,0.03,0.67,$15.79,0.88,1.60,$60.23,1.48,7.53,$208.97
No specimen returned,40,0.80,$23.72,$25.70,0.00,0.48,$10.64,0.41,1.26,$39.66,0.69,1.81,$59.31,1.13,5.25,$148.01
All ARIsc,523,0.64,$18.81,$8.43,0.02,0.44,$10.15,0.07,0.70,$17.43,0.73,1.76,$59.34,1.33,7.08,$194.54
