0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"Table 3. Performances of the four kits for individual Core tests (Inf A, Inf B, hRSV, hMPV, EV + hRV, AdV and hBoV), parainfluenza viruses, Influenza A H1N1pdm 2009 and",,,,,,,,,,,,,,
coronaviruses.,,,,,,,,,,,,,,
,,,,,,,CLART PneumoVir a,,,,,,,
,Inf A,H1N1pdm09,Inf B,PIV,hRSV,EV/hRV,AdV,hBoV,hCoV,hCoV,hCoV,hCoV,hCoV,hMPV
,,,,,,,,,,229E,NL63,OC43,HKU1,
Positives,19,17,8,3,5,15,2,3,0,1,0,0,0,9
True,15,14,7,2,4,14,1,2,0,1,0,0,0,7
Positives,,,,,,,,,,,,,,
False,4,3,1,1,1,1,1,1,0,0,0,0,0,2
Positives,,,,,,,,,,,,,,
True,145,147,156,162,159,131,164,160,153,165,162,162,162,157
Negatives,,,,,,,,,,,,,,
False,2,2,2,1,2,20,0,3,13,0,4,4,4,0
Negatives,,,,,,,,,,,,,,
PPV,78.95%,82.35%,87.50%,66.67%,80.00%,93.33%,50.00%,66.67%,-,100.00%,-,-,-,77.78%
Sensitivity,88.24%,87.50%,77.78%,66.67%,66.67%,41.18%,100.00%,40.00%,-,100.00%,-,-,-,100.00%
NPV,98.64%,98.66%,98.73%,99.39%,98.76%,86.75%,100.00%,98.16%,-,100.00%,-,-,-,100.00%
Speciﬁcity,97.32%,98.00%,99.36%,99.39%,99.38%,99.24%,99.39%,99.38%,-,100.00%,-,-,-,98.74%
Youden's,0.86,0.86,0.77,0.66,0.66,0.40,0.99,0.39,-,1.00,-,-,-,0.99
index,,,,,,,,,,,,,,
,,,,,Fast Track Diagnostics Respiratory Pathogen 33 b,,,,,,,,,
,Inf A,H1N1pdm09,Inf B,PIV,hRSV,EV/hRV,AdV,hBoV,hCoV,hCoV,hCoV,hCoV,hCoV,hMPV
,,,,,,,,,,229E,NL63,OC43,HKU1,
Positives,17,0,7,2,3,21,1,7,13,2,4,4,3,7
True,17,0,7,2,3,21,1,4,12,1,4,4,3,7
Positives,,,,,,,,,,,,,,
False,0,0,0,0,0,0,0,3,1,1,0,0,0,0
Positives,,,,,,,,,,,,,,
True,149,150,157,163,160,132,165,158,152,164,162,162,162,159
Negatives,,,,,,,,,,,,,,
False,0,16,2,1,3,13,0,1,1,0,0,0,1,0
Negatives,,,,,,,,,,,,,,
PPV,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,57.14%,92.31%,50.00%,100.00%,100.00%,100.00%,100.00%
Sensitivity,100.00%,-,77.78%,66.67%,50.00%,61.76%,100.00%,80.00%,92.31%,100.00%,100.00%,100.00%,75.00%,100.00%
NPV,100.00%,-,98.74%,99.39%,98.16%,91.03%,100.00%,99.37%,99.35%,100.00%,100.00%,100.00%,99.39%,100.00%
Speciﬁcity,100.00%,-,100.00%,100.00%,100.00%,100.00%,100.00%,98.14%,99.35%,99.39%,100.00%,100.00%,100.00%,100.00%
Youden's,1.00,-,0.78,0.67,0.50,0.62,1.00,0.78,0.92,0.99,1.00,1.00,0.75,1.00
index,,,,,,,,,,,,,,
,,,,,,xTAG Respiratory Viral Panel Fast,,,,,,,,
,Inf A,H1N1pdm,Inf B,PIV,hRSV,EV/hRV,AdV,hBoV,hCoV,hCoV,hCoV,hCoV,hCoV,hMPV
,,,,,,,,,,229E,NL63,OC43,HKU1,
Positives,19,19,4,2,4,30,0,1,9,1,4,3,1,6
True,15,15,4,2,4,28,0,1,9,1,4,3,1,6
Positives,,,,,,,,,,,,,,
