0,1,2,3,4,5,6,7,8,9
,"Table 4 Subgroup analysis of N = 247 children with acute respiratory tract infection due to RSV-A ON1, stratified by setting and the",,,,,,,,
,"first ON1 seasons (‘early’, 2011/12 to 2012/13) vs.",,"later ON1 seasons (‘late’, 2013/14 to 2016/17); Bavaria (Germany), 2011/12–2016/17",,,,,,
,Pediatric practice (PP),,,Pediatric ward (PW),,,,Pediatric intensive care unit (PICU),
,Early ON1,Late ON1,p,Early ON1,Late ON1,p,Early ON1,Late ON1,p
,N = 40 (100),N = 20 (100),,N = 67 (100),N = 71 (100),–,N = 30 (100),N = 19 (100),–
Female sex,22 (55.0),6 (30.0),0.10,27 (40.3),28 (37.4),1.00,16 (53.3),4 (21.1),0.04
"Age, years",2.6 (1.8; 3.9),2.5 (2.1; 3.6),0.84,1.1 (0.5; 2.2),1.1 (0.5; 2.3),0.87,0.2 (0.1; 1.0),0.5 (0.2; 1.7),0.19
"Age, month",–,–,–,–,–,–,2.3 (1.5; 12.8),5.8 (2.1; 20.0),0.19
Premature birth,1 (2.5),2 (10.0),0.26,7 (10.4),10 (14.1),0.61,11 (36.7),6 (31.6),0.77
Other preexisting condition,6 (15.0),0 (0),0.17,19 (28.4),33 (46.5),0.04,6 (20.0),7 (36.8),0.32
Viral coinfection,20 (50.0),9 (45.0),0.78,23 (34.3),23 (32.4),0.86,15 (50.0),7 (36.8),0.40
Considered severe,1 (2.5),0 (0),1.00,–,–,–,–,–,–
Considered life threatening,–,–,–,–,–,–,4 (13.3),3 (21.4),0.66
Cough,32 (80.0),16 (80.0),1.00,52 (77.6),55 (77.5),1.00,27 (90.0),14 (73.7),0.23
Rhinitis,29 (72.5),18 (90.0),0.19,43 (64.2),40 (56.3),0.39,25 (83.3),11 (57.9),0.01
Refusal to eat / drink,4 (10.0),1 (5.0),0.66,38 (56.7),27 (38.0),0.04,15 (50.0),10 (52.6),1.00
Tachypnea,–,–,–,21 (31.3),32 (45.1),0.12,26 (86.7),18 (94.7),0.64
Fever,39 (100),20 (100),–,32 (47.8),36 (50.7),0.74,10 (33.3),7 (36.8),1.00
"Fever,
°C",39.7 (39.0; 40.1),40.0 (39.1; 40.2),0.41,38.7 (38.2; 39.2),38.8 (38.3; 39.4),0.35,38.8 (38.5; 39.1),38.8 (38.1; 39.6),0.77
Bronchitis / Bronchiolitis,19 (47.5),7 (35.0),0.42,37 (55.2),31 (43.7),0.23,22 (73.3),15 (78.9),0.74
Pneumonia,4 (1.0),1 (5.0),0.66,17 (25.4),19 (26.8),1.00,19 (63.3),16 (84.2),0.19
Sec. bac.pneumonia,–,–,–,0 (0),1 (1.4),1.00,7 (23.3),8 (42.1),0.21
"Symptoms, days",11.0 (9.0; 14.0),10.0 (7.0; 15.0),0.92,–,–,–,–,–,–
"Hospital stay, days",–,–,–,3.0 (2.0; 5.0),3.0 (2.0; 5.0),0.68,8.0 (6.0; 11.3),10.0 (7.0; 14.0),0.21
"PICU stay, days",–,–,–,–,–,–,4.5 (3.0; 6.3),5.0 (2.0; 10.0),0.76
Oxygen,–,–,–,26 (38.8),33 (46.5),0.39,28 (93.3),19 (100),0.51
"Oxygen, days",–,–,–,4.0 (3.3; 4.8),3.0 (1.0; 5.0),0.32,5.0 (4.0; 7.0),8.5 (4.3; 14.3),0.06
CPAP,–,–,–,0 (0),0 (0),–,15 (50.0),5 (26.3),0.14
"CPAP, days",–,–,–,–,–,–,3.0 (2.0; 5.0),2.0 (1.0; 2.0),0.01
Mechanical ventilation,–,–,–,0 (0),0 (0),–,4 (13.3),3 (15.8),1.00
"Mechanical ventilation, days",–,–,–,–,–,–,3.0 (1.0; −),7.0 (6.0; −),0.18
Well-being at discharge,–,–,–,67 (100),70 (98.6),1.00,30 (100),18 (94.7),0.39
Well-being 14 days past visit,33 (90.0),17 (89.5),1.00,–,–,–,–,–,–
