0,1,2,3,4
,All Viruses,,,
,No. (%),Adult Hospital No. (%),Pediatric Hospital No. (%),Seasons No.
,44,18,26,44
Adenovirus,3 (6.8),2 (11),1 (3.8),Sp 1; Su 0; F 1; W 1
Coronavirus,2 (4.5),0 (0),2 (7.7),Sp 0; Su 0; F 1; W 1
Influenza A,3 (6.8),1 (5.6),2 (7.7),Sp 0; Su 0; F 0; W 3
Influenza B,0 (0),0 (0),0 (0),N/A
Parainfluenza,1 (2.3),0 (0),1 (3.8),Sp 1; Su 0; F 0; W 0
Respiratory syncytial virus,6 (14),2 (11),4 (15),Sp 3; Su 0; F 0; W 3
A and B,,,,
Rhino/enterovirus,25 (57),11 (61),14 (54),Sp 6; Su 5; F 9; W 5
Metapneumovirus,4 (9),2 (11),2 (7.7),Sp 2; Su 0; F 0; W 2
,"Abbreviations: F, fall; N/A, not applicable; Sp, spring; Su, summer; W, winter.",,,
