0,1,2,3,4,5
|,,,,,
574,,,,,BRINI KHALIFA ET AL.
T A B L E 3,Demographic and seasonal characteristics of viral,infection,,,
Patient's data,,Negative* No (%),Positive No (%),P value**,OR [95% CI]c
Gendera,Male*,39 (12.0),285 (88.0),0.49,1
,Female,27 (14.1),164 (85.9),,0.83 [0.49‐1.40]
Population category (ward of hospitalization)a,Neonates*,38 (18.0),173 (82.0),<0.001,1
,Infants,28 (9.2),276 (90.8),,2.16 [1.28‐3.65]
Infantsa,G2 (28 d‐ 6 m)*,20 (9.7),186 (90.3),0.66,1
,G3 (6‐12 m),8 (8.2),90 (91.8),,1.21 [0.51‐2.85]
Seasonb,Sep‐Dec 2013*,29 (18.1),131 (81.9),0.09,1
,Jan‐Mar 2014,27 (11.3),211 (88.7),,1.73 [0.98‐3.05]
,Apr‐Jun 2014,4 (6.2),61 (93.8),,3.37 [1.13‐10.02]
,Jul‐Sep 2014,3 (16.7),15 (83.3),,1.10 [0.30‐4.07]
,Oct‐Dec 2014,3 (8.8),31 (91.2),,2.28 [0.65‐7.99]
Total,,66 (12.8),449 (87.2),–,–
"Abbreviations: G2, age group 2; G3, age group 3.",,,,,
