0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Table 3. Distribution of,,"the influenza-like illnesses by sentinel site and by age groups from opening date to week 35-2013, Senegal.",,,,,,,,,,,,,,,
,,Influenza-like Illnesses,,,,,,,,,,,,,,,
,Total,,Age group,,,,,,,,,,,,,,
,,,",1 year",,,1 to 4 years,,,,5 to 14 years,,,15 to 24 years,,,25 years and +,
DISTRICTS,N,(%)*,N,(%)**,(%)#,N,(%)**,(%)#,N,(%)**,(%)#,N,(%)**,(%)#,N,(%)**,(%)#
DAKAR CENTRE,642,(12.4),206,(32.1),(6.4),355,(55.3),(5.0),82,(12.8),(2.5),4,(0.6),(0.3),2,(0.3),(0.0)
DAKAR SUD,"2,554",(49.5),504,(19.7),(6.2),921,(36.1),(7.6),436,(17.1),(6.2),168,(6.6),(3.5),533,(20.9),(3.8)
FATICK,54,(1.0),3,(5.6),(4.3),20,(37.0),(11.0),13,(24.1),(5.9),8,(14.8),(4.7),10,(18.5),(2.4)
KAOLACK,26,(0.5),7,(26.9),(6.9),8,(30.8),(4.2),6,(23.1),(3.9),2,(7.7),(1.7),3,(11.5),(1.1)
LOUGA,158,(3.1),15,(9.5),(7.6),38,(24.1),(6.2),43,(27.2),(5.5),19,(12.0),(2.7),48,(30.4),(3.8)
RICHARDTOLL,68,(1.3),8,(11.8),(1.2),12,(17.6),(1.1),19,(27.9),(1.9),10,(14.7),(0.8),19,(27.9),(1.0)
SAINT LOUIS,700,(13.6),232,(33.1),(11.8),320,(45.7),(10.8),112,(16.0),(8.5),23,(3.3),(4.3),13,(1.9),(1.6)
SOKONE,337,(6.5),57,(16.9),(16.9),130,(38.6),(12.6),75,(22.3),(5.9),25,(7.4),(2.4),19,(5.6),(0.9)
TAMBACOUNDA,100,(1.9),35,(35.0),(6.4),37,(37.0),(4.6),15,(15.0),(2.4),3,(3.0),(0.4),10,(10.0),(1.0)
THIES,75,(1.5),6,(8.0),(4.3),25,(33.3),(6.1),25,(33.3),(5.3),9,(12.0),(1.9),10,(13.3),(1.0)
ZIGUINCHOR,443,(8.6),59,(13.3),(9.6),176,(39.7),(11.7),134,(30.2),(12.1),48,(10.8),(5.3),26,(5.9),(1.9)
TOTAL,"5,157",(100.0),"1,132",(22.0),(7.1),"2,042",(39.6),(7.3),960,(18.6),(5.6),319,(6.2),(2.6),693,(13.4),(2.4)
