0,1,2,3,4
,Table 5. Summary of associations between clinical characteristics and viral single/co-infection or viral positive cases and viral,,,
negative cases.,,,,
Characteristic,Single infection (n = 160),Co-infection (n = 62),Virus positive (n = 222),Virus negative (n = 87)
Agea,21 (14–36),24 (14–35),22 (14–35),24 (14–36)
Fever (%),99 (61.9),35 (56.5),134 (60.4),50 (57.5)
Fast breathingb (%),84 (52.5),28 (45.2),112 (50.5),45 (51.7)
Cyanosis (%),3 (1.9),0 (0),3 (1.4),1 (1.1)
Oxygen (%),22 (13.8),5 (8.1),27 (12.2),12 (13.8)
Indrawing (%),34 (21.3),9 (14.5),43 (19.4),18 (20.7)
Stridor (%),2 (1.3),2 (3.2),4 (1.8),2 (2.30
Wheeze (%),58 (36.3),18 (29.0),76 (34.2),25 (28.70
Crepitations (%),58 (36.3),13 (21.0),71 (32.0),24 (27.6)
Bronchiolitis (%),59 (36.9),16 (25.8),75 (33.8),30 (34.5)
Broncho-pneumonia (%),32 (20.0),9 (14.5),41 (18.5),7 (8.0)
Pneumonia (%),3 (1.9),2 (3.2),5 (2.3),5 (5.7)
Laryngitis (%),1 (0.6),2 (3.2),3 (1.40,1 (1.0)
ARIs (%),65 (40.6),33 (53.2),98 (44.1),44 (50.6)
Hospital durationc,,,,
,"7 (
5–8)","6 (
4–8)","6 (
5–8)","6 (
5–8)"
Duration . 7 days d (%),40 (25.0),15 (24.2),55 (24.8),23 (26.4)
