0,1,2,3,4,5,6,7,8,9,10,11,12,13
,,WT,,,SPC-TNF Tg,,,,,,,,
h,,,,,,,,,,,,,
,,Gef,Gef,,Gef,Gef,,,,,,,
,CTL,100,200,CTL,100,200,,,,,,,
,,,,,,,i,,WT,,,SPC-TNF Tg,
P-EGFR (Y1068),,,,,,,,,,,,,
,,,,,,,,,Gef,Gef,,Gef,Gef
,1,0.9,1.1,1,0.26,0.2,,CTL,100,200,CTL,100,200
EGFR,,,,,,,,,,,,,
,,,,,,,P-MKK3/6,,,,,,
,,,,,,,,1,1.1,1.1,1,1.6,1.7
P-AKT (S473),,,,,,,,,,,,,
,,,,,,,MKK3/6,,,,,,
,1,1.1,0.9,1,0.64,0.41,,,,,,,
AKT,,,,,,,P-p38 MAPK,,,,,,
,,,,,,,,1,0.9,1.1,1,2.6,2.5
P-ERK1/2,,,,,,,,,,,,,
,,,,,,,p38 MAPK,,,,,,
,1,0.87,1.1,1,0.55,0.52,,,,,,,
ERK1/2,,,,,,,,,,,,,
Actin,,,,,,,,,,,,,
