0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,"Location, numbera and characteristics of camels sampled for a cross-sectional serological and virological surey on MERS-",,,,,,,,,,,,,,,
"CoV, Burkina Faso, Ethiopia and Morocco February–March 2015 (n=1,500 camels)",,,,,,,,,,,,,,,,
,,Tot,Inds./,Sex,,,Function,,,Herd sizeb,,,Lifestyle,,Type,
Country,Region,,,,,,,,,,,,,,,
,,Inds.,herd,Female,Male,Meat,Milk,Transport,Large,Medium,Small,Mixed,Nomadic,Sedentary,Abattoir,Farm
,Gorom,127,12,66,61,52,74,1,0,0,127,0,16,111,0,127
,Tinakoff,289,10,172,117,73,171,45,0,0,289,0,0,289,0,289
Burkina,,,,,,,,,,,,,,,,
Faso,,,,,,,,,,,,,,,,
,Arbinda,47,24,0,47,0,0,47,0,0,47,0,0,47,0,47
,PobéMengao,62,31,7,55,0,7,55,0,0,62,0,0,62,0,62
,Akakic,100,25,60,40,100,0,0,59,0,41,0,0,100,100,0
,Ayssaita-Dubti,99,20,52,47,46,53,0,33,56,10,36,56,7,0,99
Ethiopia,Melkawerer,199,22,111,88,88,111,0,45,0,154,0,199,0,0,199
,Metehara,140,23,74,66,66,74,0,61,65,14,0,0,140,0,140
,Yabello,94,24,52,42,40,54,0,33,61,0,52,33,9,0,94
,Assa-Guelmim,24,12,20,4,0,4,0,0,0,24,0,0,24,0,24
,Awsard,66,66,62,4,5,60,1,66,0,0,0,66,0,0,66
,Fask-Tighmert,154,15,109,45,35,95,24,59,95,0,71,0,83,0,154
Morocco,,,,,,,,,,,,,,,,
,Galtat,,,,,,,,,,,,,,,
,,16,16,0,16,16,0,0,0,0,16,0,0,0,16,0
,Zemmourc,,,,,,,,,,,,,,,
,Laayounec,83,83,0,83,83,0,0,0,0,83,0,0,30,83,0
