0,1,2,3,4,5
"shell proteins, with the only exception being a HSV-2 tegument (matrix) protein.",,,,,
,Table 2. Percentage of Intrinsic disorder (PID) levels of shell proteins.,,,,
,PID (%) of Outer,PID (%) of,PID (%) of Inner,Vaccine,
Virus,,,,,+
,Shell,Intermediate Shell,Shell,Available,
EIAV,13 ± 0.1,29 ± 0.1,26 ± 0.1,Yes,
"HIV-1, SIVcpz #",56.5 ± 10.8,44.5 ± 2.6,39.5 ± 3.0,No,
+,,,,,
"HIV-2, SIVmac",51.5 ± 2.5,26.6 ± 2.9,46.5 ± 0.1,No,
Inﬂuenza,35.2 ± 1.6,,44.7 ± 5.4,Yes,
,13 ± 0.1,,19 ± 0.1,,
Smallpox,8 ± 0.1,,4 ± 0.1,Yes,
,15 ± 0.1,,12 ± 0.1,,
Rabies,25.8 ± 1.4,21.5 ± 0.8,,Yes,
,,34 ± 3.8,,,
,,15.12 ± 6.1,,,
Poliovirus,,,,Yes,
,,31.3 ± 3.6,,,
,,27 ± 0.1,,,
Yellow Fever (YFV),35.2 ± 0.9,,74.3 ± 0.9,Yes,
HCV,,,52.5 ± 0.5 48.5 ± 0.5,No,
,58.0 ± 1.4,,,,
,50.5 ± 0.5,,,,
HSV-1,,,18 ± 0.1,No ˆ,
,36.3 ± 0.5,,,,
,37 ± 0.7,,,,
,61 ± 1.6,,,,
,50 ± 0.1,,,,
HSV-2,,,18 ± 0.1,No,
,38 ± 1.1,,,,
,39.3 ± 0.1,,,,
