0,1,2,3,4,5,6,7,8,9,10,11
Table 3. Incidence of events and victims of natural disaster and MCI by type : 2000-2009,,,,,,,,,,,[Unit : No. (%)]
,,,,Total,,,Disaster,,,MCI,
,,,,Victims,,,Victims,,,Victims,
,,,Events,,,Events,,,Events,,
Group,Main-type,Sub-type,,,,,,,,,
,,,,Affected*,Dead,,Affected*,Dead,,Affected*,Dead
,,,N = 233,"N = 5,378",N = 582,N = 26,"N = 2,556",N = 412,N = 207,"N = 2,822",N = 170
,,,(100.0),(100.0),(100.0),(100.0),(100.0),(100.0),(100.0),(100.0),(100.0)
G eophysi-,Earthquake,Tsunami,1 (0.4),6 (0.1),3 (0.5),0 (0.0),0 (0.0),0 (0.0),1 (0.5),6 (0.2),3 (1.8)
cal,Mass movement dry,Landslide,1 (0.4),11 (0.2),4 (0.7),0 (0.0),0 (0.0),0 (0.0),1 (0.5),11 (0.4),4 (2.4)
M eteoro-,Storm,Tropical cyclone,24 (10.3),521 (9.7),40 (6.9),4 (15.4),264 (10.3),26 (6.3),20 (9.7),257 (9.1),14 (8.2)
logical,,Local windstorm,5 (2.2),61 (1.1),4 (0.7),0 (0.0),0 (0.0),0 (0.0),5 (2.4),61 (2.2),4 (2.4)
C limatolog-,Extreme temperature,Heat wave,1 (0.4),13 (0.2),0 (0.0),0 (0.0),0 (0.0),0 (0.0),1 (0.5),13 (0.5),0 (0.0)
ical,,Heavy snow,3 (1.3),370 (6.9),0 (0.0),1 (3.9),326 (88.8),0 (0.0),2 (1.0),44 (1.6),0 (0.0)
,Wild fires,Wild fires,2 (0.1),37 (0.7),2 (0.3),0 (0.0),0 (0.0),0 (0.0),2 (1.0),37 (1.3),2 (1.2)
H ydrologi-,Flood,General flood,125 (61.0),"3,343 (62.2)",430 (73.9),17 (65.4),"1,793 (70.2)",366 (88.8),108 (52.2),"1,550 (54.9)",64 (37.7)
cal,,Flash flood,47 (20.2),601 (11.2),81 (14.0),3 (11.5),114 (4.5),20 (4.9),44 (21.3),487 (17.3),61 (35.9)
,,Storm surge,1 (0.4),14 (0.3),9 (1.6),0 (0.0),0 (0.0),0 (0.0),1 (0.5),14 (0.5),9 (5.3)
,Mass movement wet,Subsidence,1 (0.4),8 (0.2),8 (1.4),0 (0.0),0 (0.0),0 (0.0),1 (0.5),8 (0.3),8 (4.7)
Biological,Epidemic,B acterial infec-,13 (5.6),253 (4.7),1 (0.2),1 (3.9),59 (2.3),0 (0.0),12 (5.8),194 (6.9),1 (0.6)
,,tious diseases,,,,,,,,,
,Insect,Worms,9 (3.4),140 (2.6),0 (0.0),0 (0.0),0 (0.0),0 (0.0),9 (4.4),140 (5.0),0 (0.0)
,"*Affected victims include population who is injured, missed, displaced and dead. MCI, Mass casualty incident.",,,,,,,,,,
