0,1,2,3,4,5,6,7,8,9,10
,Table 2. Reproducibility of the multiplex real-time PCR assays.,,,,,,,,,
target,,,Intra -assay,,,,,Inter-assay,,
,,Ct of amplicons,,Mean,CV%,,Ct of amplicons,,Mean,CV%
16S-23S rRNA ITS,24.96,25.12,25.00,25.03,0.34,25.03,25.94,25.05,25.34,2.05
recA,23.92,23.95,23.90,23.92,0.09,23.92,23.94,23.95,23.94,0.05
NDM,21.72,21.89,21.71,21.77,0.46,21.77,21.88,22.49,22.05,1.75
OXA-23-like,21.90,21.88,21.89,21.89,0.05,21.89,21.93,21.88,21.90,0.11
OXA-40-like,19.94,19.92,19.90,19.92,0.10,18.47,19.92,19.85,19.42,4.20
OXA-51-like,16.82,16.77,16.92,16.84,0.47,16.84,16.96,16.83,16.87,0.42
OXA-58-like,16.90,16.94,16.94,16.93,0.14,16.93,16.93,16.90,16.92,0.10
doi:10.1371/journal.pone.0158958.t002,,,,,,,,,,
