0,1,2,3,4,5,6,7,8
,abetes mellitus 0.1%. Premature babies had a mean gestational age of 32.8 wk (IQR 31‐35 wk) with a mean birth weight of 1.87 kg (IQR 1.29‐2.25 kg).,,,,,,,
TA B L E   2  Comparison of clinical characteristics between Influenza A and B,,,,,,,,
,,,,,Influenza A,Influenza A,Influenza,Influenza B
Clinical,Influenza A,Influenza B,,Odds ratio (95%,H1N1‐pdm09,H3N2,B Victoria,Yamagata
Characteristic,(n = 978; %),(n = 294; (%),P value,CI),(n = 231; %),(n = 693; %),(n = 72; %),(n = 207; %)
Mean age (mo) ±SD,45.9 ± 46.2,70.2 ± 50.2,<.001,,42.8 ± 43.1,46.8 ± 46.4,74.3 ± 53.1,70.7 ± 49.8
Male gender,550 (56.2),169 (57.5),.706,,134 (58.0),384 (55.4),41 (56.9),119 (57.5)
Year,,,,,,,,
2013,537 (54.9),137 (46.6),.012,1.40 (1.07‐1.81),75 (34.5),433 (62.5),55 (76.4),76 (36.7)
2014,441 (45.1),157 (53.4),,,156 (67.5),260 (37.5),17 (23.6),131 (63.3)
Developmental delay,39 (4.0),22 (7.5),.014,1.95 (1.14‐3.34),7 (3.0),30 (4.3),4 (5.6),17 (8.2)
Febrile seizure,109 (11.1),10 (3.4),<.001,3.56 (1.84‐6.90),16 (6.9),93 (13.4),2 (2.8),8 (3.9)
Any seizure,154 (15.7),21 (7.1),<.001,2.43 (1.51‐3.92),34 (14.7),117 (16.9),4 (5.6),17 (8.2)
Diarrhea,87 (8.9),45 (15.3),.002,0.54 (0.37‐0.80),29 (12.6),52 (7.5),13 (18.1),30 (14.5)
Pneumonia,40 (4.1),16 (5.4),.322,,14 (6.1),20 (2.9),7 (9.7),9 (4.3)
Comorbidity,234 (23.9),82 (27.9),.168,,41 (17.7),139 (20.1),16 (22.2),55 (26.6)
ICU/HD admission,43 ( 4.4),13 (4.4),.985,,10 (4.3),24 (3.5),2 (2.8),11 (5.3)
Complicated,267 (27.3),58 (19.7),.009,1.53 (1.11‐2.10),43 (18.6),26 (29.7),15 (20.8),40 (19.3)
influenza,,,,,,,,
Complication type,,,<.001,,,,,
Neurologic,135 (13.8),16 (5.4),,,23 (10.0),110 (15.9),3 (0.3),13 (6.3)
Pulmonary,99 (10.1),23 (7.8),,,17 (7.4),72 (10.4),7 (9.7),13 (6.3)
Other,33 (3.4),19 (6.5),,,3 (1.3),24 (3.5),5 (6.9),14 (6.8)
Nil,711 (72.7),236 (80.3),,,188 (81.4),487 (70.3),57 (79.2),167 (80.7)
