0,1,2,3,4,5,6,7,8,9,10,11,12
"Table 4 Influenza vaccine coverage in Portugal for the 1998/99 to 2010/11 seasons, by sex and age",,,,,,,,,,,,
,1998/99,1999/00,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11
Sex (%),n = 1429,n = 1844,n = 1983,n = 1295,n = 1238,n = 1170,n = 1045,n = 1248,n = 1186,n = 1035,n = 1355,n = 1310
Male,13.9,15.5,16.9,15.0,16.6,14.8,19.2,13.0,14.9,16.7,19.1,15.9
,(11.9; 16.3)*,(13.6; 17.6),(15.0; 19.0),(12.7; 17.5),(14.3; 19.3),(12.8; 17.1),(16.7; 21.9),(11.1; 15.1),(12.9; 17.2),(14.5; 19.3),(16.4; 22.1),(13.1; 19.2)
,n = 1424,n = 1952,n = 2165,n = 1420,n = 1360,n = 1295,n = 1161,n = 1382,n = 1351,n = 1157,n = 1454,n = 1374
Female,14.4,15.7,17.1,14.9,20.1,15.9,18.9,15.5,16.9,19.7,20.0,19.1
,(12.3; 16.7),(13.9; 17.8),(15.3; 19.1),(12.8; 17.3),(17.7; 22.8),(13.9; 18.1),(16.7; 21.4),(13.6; 17.7),(14.9; 19.1),(17.3; 22.2),(17.2; 23.0),(16.1; 22.5)
p†,0.794,0.870,0.892,0.973,0.058,0.472,0.899,0.076,0.207,0.093,0.664,0.056
Age group (%),n = 390,n = 449,n = 481,n = 294,n = 290,n = 275,n = 214,n = 398,n = 352,n = 309,n = 457,n = 419
<15,12.1,14.6,10.2,5.7,8.2,6.1,11.3,4.4,3.9,5.5,12.9,9.6
,(8.7; 16.6),(10.9; 19.1),(7.3; 14.0),(3.4; 9.4),(5.2; 12.8),(3.8; 9.7),(7.4; 16.7),(2.7; 7.0),(15.3; 21.9),(3.5; 8.8),(9.3; 17.6),(5.6; 16.3)
,n = 1266,n = 1570,n = 1617,n = 960,n = 936,n = 835,n = 704,n = 982,n = 944,n = 772,n = 1184,n = 1090
15-44,9.9,8.1,9.5,6.6,7.6,4.3,7.7,6.1,7.8,8.3,10.3,7.4
,(8.0; 12.1),(6.6; 9.8),(7.9; 11.4),(4.9; 8.8),(5.8; 9.8),(3.1; 5.9),(5.9; 10.2),(4.7; 7.9),(6.1; 9.8),(6.5; 10.6),(8.1; 12.9),(5.1; 10.5)
,n = 818,n = 1066,n = 1244,n = 780,n = 810,n = 754,n = 707,n = 738,n = 776,n = 708,n = 800,n = 777
45 - 64,13.5,12.5,15.0,14.2,16.7,14.3,18.1,14.7,13.8,17.1,15.5,17.0
,(10.9; 16.6),(10.3; 15.1),(12.8; 17.5),(11.4; 17.5),(13.8; 20.0),(11.8; 17.2),(15.2; 21.4),(12.2; 17.6),(11.4; 16.6),(14.3; 20.3),(12.4; 19.1),(13.5;21.2)
,n = 433,n = 616,n = 716,n = 523,n = 561,n = 601,n = 514,n = 355,n = 431,n = 396,n = 368,n = 398
≥65,31.3,39.0,41.9,36.9,46.9,39.0,41.6,50.4,51.0,53.3,52.2,48.3
,(26.1; 36.9),(34.3; 43.8),(37.6; 46.3),(31.9; 42.3),(41.9; 52.1),(34.9; 43.3),(37.1; 46.3),(44.8; 55.9),(45.8; 56.1),(47.9; 58.6),(45.6; 58.7),(40.9; 55.7)
p,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001,<0.001
Notes: *95% confidence Interval; †p-value; n sample size.,,,,,,,,,,,,
