0,1,2
,Table 1. Distribution of livestock samples from study sites.,
,Number of Rectal Samples per Farm,Number of Serum Samples per Farm
Farms,,
,(Percentage),(Percentage)
n = 35,,
,n = 4248,n = 592
AC,100 (2.4),20 (3.4)
AF,77 (1.8),2 (0.3)
AGD,618 (14.5),61 (10.3)
AGV,132 (3.1),30 (5.1)
AGB,52 (1.2),-
AGO,134 (3.2),-
AKA,24 (0.6),2 (0.3)
AKI,70 (1.6),5 (0.8)
AKU,148 (3.5),14 (2.4)
AA,284 (6.7),56 (9.5)
AI,193 (4.5),108 (18.2)
ANY **,70 (1.6),-
ATY,108 (2.5),-
ATA,85 (2),-
AW,1 (0),-
AZ,81 (1.9),-
ESBS,410 (9.7),26 (4.4)
IB,50 (1.2),9 (1.5)
JO,99 (2.3),10 (1.7)
KB,33 (0.8),19 (3.2)
KGBS **,552 (13),75 (12.7)
KAS **,58 (1.4),58 (9.8)
KT,51 (1.2),-
KF,290 (6.8),20 (3.4)
LB,137 (3.2),-
LF,40 (0.9),10 (1.7)
MS **,28 (0.7),-
NS,108 (2.5),-
NF,26 (0.6),26 (4.4)
PT,65 (1.5),4 (0.7)
SY,23 (0.5),3 (0.5)
TH,16 (0.4),15 (2.5)
WF,45 (1.1),10 (1.7)
YA,17 (0.4),3 (0.5)
ZM,23 (0.5),6 (1)
,N: Total number of samples collected. ** No data on bat proximity to livestock.,
